Period [s],umax [m],vmax [m/s],amax [g]
0.001,8.763114850455993e-08,0.0005506027447351233,0.35265434004204677
0.0010974987654930556,1.0555469623418954e-07,0.0006043011047802957,0.3526632526988541
0.0012045035402587824,1.2714509965994447e-07,0.0006632410743198084,0.3526746096054735
0.0013219411484660286,1.5315295852695415e-07,0.0007279358993282536,0.35268896988332443
0.0014508287784959402,1.8448271790067467e-07,0.0007989496208806552,0.35270701249663466
0.0015922827933410922,2.2222429284898022e-07,0.0008769022799004658,0.35272956126261323
0.001747528400007683,2.6769123615804874e-07,0.0009624757124871893,0.3527576150293369
0.0019179102616724885,3.2246682200243857e-07,0.001056420020554959,0.35279238408471186
0.00210490414451202,3.884597151961594e-07,0.0011595608195818902,0.352835334073317
0.0023101297000831605,4.6797126027873365e-07,0.0012728073868146044,0.3528882389466635
0.0025353644939701114,5.637768743782089e-07,0.0013971618605709449,0.35295324475364104
0.0027825594022071257,6.792245845902285e-07,0.001533729675918993,0.353032946377777
0.0030538555088334154,8.183544430038832e-07,0.0016837314658385224,0.3531304796082163
0.003351602650938841,9.860434173261911e-07,0.0018485167119227602,0.3532496311017317
0.003678379771828634,1.1881814396437173e-06,0.002029579496116448,0.35339496865161346
0.004037017258596553,1.431885659762905e-06,0.0022285767839672604,0.35357199328208194
0.004430621457583882,1.7257616635836548e-06,0.002447349752654271,0.3537873120542885
0.004862601580065354,2.0802225526869938e-06,0.002687948737624287,0.35404882389846454
0.005336699231206312,2.5078793711496936e-06,0.0029526623357083405,0.35436589516333655
0.005857020818056668,3.0240192721010733e-06,0.003244050866357965,0.35474946452263434
0.006428073117284319,3.647190318096068e-06,0.003564983191857378,0.35521192680866415
0.007054802310718645,4.3999112526401246e-06,0.00391867220623315,0.35576641632548567
0.007742636826811269,5.3095117602084404e-06,0.004308693152766428,0.35642449145771093
0.008497534359086447,6.409051137008353e-06,0.004738934170234149,0.3571894372589945
0.0093260334688322,7.738046215460926e-06,0.005213318014539445,0.3580371645932525
