Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,0.31765,0.5406,0.51434,0.34097,0.61201,0.2272,0.35804,0.57808,0.41162,0.57257,0.59053,0.62527,0.60334,0.61846,0.81094,0.35765,0.79275,1.0098,0.21439,0.40525,0.50958,0.37612,0.94093,0.48173,0.49569,0.90801,0.35308,0.68199,0.28697,0.54106,0.44399,0.8058,0.4526,0.47118,0.26413,0.40448,0.61057,0.37205,0.3319,0.25539
0.02,0.31977,0.58223,0.96435,0.35063,0.63803,0.23037,0.3769,0.62029,0.4114,0.57178,0.59524,0.64089,0.59537,0.61958,0.8148,0.36014,0.8065,1.012,0.22239,0.40723,0.70948,0.37674,0.94372,0.48765,0.48188,0.92353,0.35478,0.68924,0.31995,0.54602,0.44498,0.87827,0.48367,0.47678,0.26427,0.44026,0.73078,0.37507,0.33215,0.25683
0.03,0.33051,0.63932,1.1512,0.34487,0.70142,0.23153,0.44356,0.66152,0.41407,0.57905,0.61818,0.63762,0.65845,0.62315,0.88807,0.35755,0.83448,1.018,0.24422,0.4176,0.84256,0.3777,0.94412,0.50203,0.51877,0.91142,0.36592,0.68619,0.44875,0.6335,0.45277,0.88321,0.53206,0.65651,0.27972,0.45417,0.7625,0.37754,0.3379,0.25749
0.04,0.31717,0.74767,0.76869,0.35243,0.65921,0.25606,0.45586,0.91127,0.42032,0.57975,0.62968,0.65038,0.63889,0.62636,0.86858,0.36195,0.85818,1.0308,0.24602,0.4038,1.0348,0.38321,0.97837,0.54489,0.50972,0.97558,0.43107,0.72259,0.61245,0.79759,0.4617,1.129,0.58891,0.65282,0.28518,0.51497,0.68404,0.38102,0.34469,0.28761
0.05,0.3262,0.87002,1.2318,0.35419,0.67598,0.26757,0.35959,1.0636,0.42297,0.58384,0.62848,0.70474,0.61987,0.6301,1.0644,0.37157,0.88682,1.0738,0.27341,0.41905,0.71841,0.395,1.0043,0.53146,0.53498,1.0006,0.38802,0.76309,0.70878,0.88262,0.46574,1.464,0.59061,0.71159,0.31534,0.5116,0.87295,0.38166,0.38694,0.31049
0.06,0.32372,0.93174,1.3211,0.35068,1.0705,0.31239,0.35286,1.3923,0.42709,0.59395,0.67626,0.78354,0.66804,0.6326,1.0359,0.3809,0.91118,1.0918,0.31691,0.42419,1.0492,0.42421,1.1351,0.52322,0.56305,1.0557,0.38679,0.79414,0.65284,0.77557,0.45678,0.9636,0.55758,1.1272,0.29909,0.55692,0.66738,0.38875,0.345,0.36103
0.07,0.37604,0.91899,0.91309,0.35843,0.96771,0.33343,0.40953,1.3142,0.43051,0.63641,0.80795,0.81284,0.75116,0.65786,1.0826,0.3855,0.91903,1.1394,0.44383,0.4219,1.065,0.39543,1.2345,0.59907,0.51995,0.94326,0.42663,0.83764,0.75408,0.83477,0.49442,1.0262,0.47933,1.1298,0.33416,0.4668,0.92745,0.38169,0.38735,0.329
0.08,0.37227,0.91619,1.0458,0.36998,1.1584,0.36876,0.42426,1.3108,0.43718,0.79437,0.87125,0.93755,0.89877,0.65634,1.1679,0.39312,0.97731,1.1751,0.39536,0.45425,1.1006,0.45689,1.371,0.56967,0.57372,1.3016,0.44795,0.83614,0.93144,0.86828,0.60817,0.83181,0.59678,1.4362,0.3515,0.49328,0.94756,0.41168,0.42292,0.39467
0.09,0.36189,1.0537,1.0903,0.35049,1.0418,0.32066,0.36678,1.084,0.44372,0.70613,0.90355,0.97664,0.9897,0.72024,1.2436,0.37234,0.99276,1.1978,0.41385,0.52176,1.0052,0.53821,1.1709,0.68566,0.57464,1.2213,0.4753,0.87477,1.306,0.90817,0.57825,1.1445,0.81172,1.2524,0.32787,0.59114,1.133,0.42667,0.54338,0.56973
0.1,0.35369,1.2016,1.2705,0.38874,1.272,0.39031,0.46305,1.1731,0.45726,0.7558,0.9412,0.8204,1.056,0.78134,1.1829,0.3831,1.0245,1.2307,0.52825,0.57791,1.1885,0.55293,1.0632,0.71958,0.60389,1.3079,0.43604,0.89944,1.0109,0.90578,0.63451,1.2277,0.73586,1.319,0.3261,0.50731,1.1754,0.45573,0.52638,0.57014
