Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,0.00031091,0.00052912,0.00050342,0.00033373,0.00059901,0.00022238,0.00035044,0.00056581,0.00040288,0.00056041,0.00057799,0.00061199,0.00059053,0.00060533,0.00079372,0.00035005,0.00077591,0.00098835,0.00020984,0.00039665,0.00049876,0.00036813,0.00092095,0.0004715,0.00048517,0.00088872,0.00034558,0.0006675,0.00028087,0.00052957,0.00043456,0.00078868,0.00044299,0.00046117,0.00025852,0.00039589,0.0005976,0.00036415,0.00032485,0.00024997
0.02,0.0012519,0.0022794,0.0037755,0.0013727,0.0024979,0.00090189,0.0014756,0.0024285,0.0016107,0.0022386,0.0023304,0.0025091,0.0023309,0.0024257,0.00319,0.00141,0.0031575,0.0039619,0.00087068,0.0015943,0.0027776,0.001475,0.0036947,0.0019092,0.0018866,0.0036156,0.001389,0.0026984,0.0012526,0.0021377,0.0017421,0.0034385,0.0018936,0.0018666,0.0010346,0.0017236,0.002861,0.0014684,0.0013004,0.0010055
0.03,0.0029114,0.0056317,0.010141,0.0030379,0.0061787,0.0020395,0.0039073,0.0058273,0.0036474,0.0051007,0.0054454,0.0056167,0.0058002,0.0054892,0.0078229,0.0031496,0.0073508,0.0089673,0.0021513,0.0036786,0.007422,0.0033271,0.0083166,0.0044223,0.0045698,0.0080286,0.0032233,0.0060445,0.003953,0.0055804,0.0039884,0.00778,0.0046869,0.0057831,0.002464,0.0040007,0.0067167,0.0033257,0.0029765,0.0022682
0.04,0.0049669,0.011709,0.012038,0.0055191,0.010323,0.00401,0.0071389,0.014271,0.0065822,0.009079,0.009861,0.010185,0.010005,0.0098089,0.013602,0.0056682,0.013439,0.016142,0.0038527,0.0063235,0.016205,0.0060012,0.015322,0.0085331,0.0079823,0.015278,0.0067506,0.011316,0.009591,0.01249,0.0072303,0.01768,0.0092224,0.010223,0.0044659,0.0080646,0.010712,0.0059668,0.005398,0.004504
0.05,0.0079818,0.021289,0.030142,0.0086667,0.016541,0.0065471,0.0087989,0.026026,0.01035,0.014286,0.015378,0.017244,0.015168,0.015418,0.026046,0.0090919,0.0217,0.026276,0.00669,0.010254,0.017579,0.0096652,0.024574,0.013004,0.01309,0.024484,0.0094945,0.018672,0.017343,0.021597,0.011396,0.035822,0.014452,0.017412,0.0077161,0.012518,0.02136,0.0093389,0.0094681,0.0075974
0.06,0.011407,0.03283,0.04655,0.012357,0.03772,0.011007,0.012433,0.049057,0.015049,0.020928,0.023828,0.027608,0.023539,0.02229,0.036501,0.013421,0.032106,0.038469,0.011167,0.014947,0.03697,0.014947,0.039996,0.018436,0.019839,0.037199,0.013629,0.027982,0.023003,0.027327,0.016095,0.033953,0.019647,0.039718,0.010539,0.019623,0.023516,0.013698,0.012156,0.012721
0.07,0.018035,0.044074,0.043791,0.01719,0.046411,0.015991,0.019641,0.063028,0.020647,0.030522,0.038749,0.038984,0.036025,0.031551,0.051919,0.018489,0.044076,0.054643,0.021286,0.020234,0.051075,0.018965,0.059208,0.028731,0.024936,0.045238,0.020461,0.040173,0.036165,0.040035,0.023712,0.049216,0.022989,0.054186,0.016026,0.022388,0.04448,0.018306,0.018577,0.015779
0.08,0.023319,0.057391,0.065511,0.023176,0.072563,0.023099,0.026576,0.082107,0.027386,0.04976,0.054576,0.058729,0.056299,0.041114,0.073158,0.024626,0.06122,0.073608,0.024766,0.028454,0.06894,0.02862,0.085878,0.035685,0.035938,0.081536,0.02806,0.052376,0.058346,0.05439,0.038096,0.052105,0.037383,0.089964,0.022018,0.0309,0.059356,0.025788,0.026492,0.024722
0.09,0.02869,0.083535,0.086438,0.027787,0.082597,0.025422,0.029078,0.085937,0.035178,0.055981,0.071633,0.077428,0.078463,0.057101,0.09859,0.029519,0.078706,0.094961,0.03281,0.041365,0.07969,0.042669,0.092826,0.054359,0.045557,0.096828,0.037681,0.069352,0.10354,0.072,0.045844,0.090735,0.064353,0.099288,0.025994,0.046865,0.089827,0.033827,0.043079,0.045168
0.1,0.034618,0.11761,0.12435,0.038048,0.1245,0.038202,0.045321,0.11482,0.044755,0.073975,0.092121,0.080298,0.10335,0.076475,0.11578,0.037496,0.10027,0.12046,0.051703,0.056563,0.11632,0.054119,0.10406,0.07043,0.059107,0.12801,0.042678,0.088034,0.09894,0.088654,0.062104,0.12016,0.072023,0.12909,0.031917,0.049654,0.11504,0.044605,0.051521,0.055803
0.11,0.044512,0.1436,0.14116,0.049887,0.1422,0.047788,0.06814,0.12441,0.052468,0.10085,0.13463,0.10149,0.10655,0.11074,0.14333,0.046379,0.12134,0.13274,0.067284,0.058528,0.1683,0.066871,0.15406,0.087917,0.069442,0.16762,0.067917,0.10278,0.098338,0.11546,0.085163,0.13209,0.076327,0.12921,0.036697,0.070076,0.13665,0.052652,0.061817,0.065624
0.12,0.051936,0.16406,0.13576,0.059919,0.15668,0.063644,0.094186,0.12158,0.067072,0.11547,0.16054,0.11815,0.1212,0.13226,0.16035,0.054785,0.14417,0.16224,0.056023,0.071556,0.19701,0.081254,0.20777,0.10916,0.076225,0.23235,0.069437,0.12484,0.091788,0.1325,0.11012,0.16389,0.10841,0.11539,0.052886,0.095473,0.16143,0.068241,0.090552,0.073061
0.13,0.0621,0.18312,0.11215,0.069495,0.12274,0.076333,0.13339,0.16905,0.080826,0.1456,0.19271,0.16328,0.14048,0.15735,0.17398,0.067831,0.17911,0.20012,0.057431,0.099162,0.27954,0.098234,0.24783,0.14822,0.095892,0.31321,0.076901,0.13866,0.099317,0.1657,0.1653,0.20747,0.15783,0.1547,0.067677,0.1328,0.20599,0.075957,0.12823,0.09868
