0.00069315	0.0098877
0.0045745	5.2877
0.0063817	7.4377
0.017138	16.951
0.012184	10.605
0.0058198	3.8411
0.0055836	3.3321
0.0053017	3.0748
0.002777	0.49512
-0.0018082	-4.0248
-0.007849	-10.801
-0.015863	-17.6
-0.0092028	-9.1436
-0.00031549	-0.73911
0.010147	8.2089
0.01975	16.911
0.0058759	1.4724
-0.00071406	-4.774
-0.0088732	-12.419
-0.013864	-15.919
0.008189	5.9338
0.019933	17.467
0.0046746	0.19318
-0.0020881	-5.8465
-0.010939	-13.877
-0.014626	-17.407
0.0017059	-0.39523
0.0053819	3.3062
0.020846	18.735
0.039486	32.66
0.043328	34.899
0.032853	21.625
0.013742	5.0805
-0.0017587	-8.116
-0.014337	-18.68
-0.029487	-30.455
-0.036078	-34.075
-0.015649	-13.21
0.00091466	-0.044952
0.019028	14.662
0.03281	25.777
0.043258	34.26
0.020781	10.778
0.001063	-4.6715
-0.00056245	-5.6699
-0.020809	-21.283
-0.037415	-34.246
-0.0029286	-3.0593
-0.00082927	-1.6609
0.0031255	1.3827
0.032023	24.157
0.044385	33.69
0.01804	8.8497
-0.00059188	-4.8517
-0.0052924	-8.381
-0.024567	-23.702
-0.036619	-34.043
-0.018209	-14.75
0.00078951	-0.74359
0.0043826	2.0746
0.025588	18.333
0.044242	34.571
0.078354	55.729
0.10973	67.721
0.099155	57.122
0.096812	55.767
0.06585	29.294
0.04858	17.604
0.034938	9.4803
0.014167	-2.5646
-0.0014287	-11.712
-0.019005	-23.326
-0.041326	-38.854
-0.078895	-58.67
-0.1067	-67.116
-0.011512	-1.6438
-0.0090517	-0.50464
0.027626	16.879
0.082999	49.902
0.11589	69.623
0.047047	17.368
-0.0057332	-8.1679
-0.0087325	-9.6106
-0.011836	-10.998
-0.054614	-33.173
-0.079838	-48.953
-0.11393	-69.181
-0.054826	-24.962
0.0026289	3.4607
0.05641	29.481
0.10299	59.752
0.11775	67.643
0.048532	17.614
0.00097725	-4.2796
-0.0066489	-7.8073
-0.091442	-54.555
-0.11106	-64.089
-0.052574	-22.972
-0.0027022	0.29736
0.002517	2.5505
0.0048142	3.7017
0.047405	23.294
0.076041	39.923
0.1196	69.655
0.1507	86.846
0.19901	103.62
0.18942	94.538
0.19013	93.402
0.19013	93.517
0.17278	79.623
0.12228	45.892
0.060359	14.274
-0.019154	-16.754
-0.071181	-42.09
-0.14905	-85.135
-0.18497	-99.514
-0.19584	-98.345
-0.18851	-90.491
-0.13325	-53.996
-0.079631	-25.881
-0.028188	-5.2361
0.018795	10.236
0.026151	12.776
0.081706	34.932
0.136	63.589
0.21255	104.89
0.16018	67.13
0.093636	30.428
0.017365	-0.16022
-0.0129	-9.7543
-0.099611	-45.229
-0.15582	-75.637
-0.21123	-104.99
-0.086339	-29.803
0.0098583	5.2444
0.079064	30.523
0.14179	62.877
0.21478	103.23
0.13749	51.84
0.025595	2.7018
-0.013232	-9.2643
-0.10621	-46.895
-0.16172	-76.264
-0.20697	-101.5
-0.21165	-101.86
-0.12196	-46.764
-0.031724	-7.9937
-0.0075426	-0.69241
-0.0043693	0.081024
-0.0038137	0.21744
0.011872	0.69278
0.011963	0.76016
0.01201	0.86636
0.011763	0.53412
0.011713	0.66339
0.011865	0.80118
0.011846	0.67291
0.011859	0.69827
0.011862	0.73993
0.043774	14.699
0.073935	27.078
0.1059	42.931
0.13946	60.382
0.17122	78.371
0.20582	98.526
0.23795	114.64
0.27174	126.9
0.22671	91.36
0.19201	69.624
0.15999	51.799
0.1228	34.024
0.098422	23.815
0.063197	9.8329
0.030062	-0.49924
-0.016327	-14.241
-0.042597	-22.812
-0.086755	-40.027
-0.11681	-53.979
-0.15326	-72.392
-0.17491	-83.934
-0.20779	-101.12
-0.2505	-121.47
-0.27391	-128.24
-0.22893	-94.994
-0.19374	-74.622
-0.16083	-57.236
-0.12103	-38.205
-0.097548	-28.407
-0.060527	-15.66
-0.031596	-6.3775
0.0017641	2.3106
0.0016195	2.1313
0.034749	11.715
0.072414	23.616
0.11031	39.205
0.141	53.891
0.17423	70.481
0.20455	86.01
0.24191	106.86
0.27361	122.73
0.22909	91.178
0.1954	71.054
0.16006	51.885
0.12891	37.118
0.097786	23.843
0.060132	9.7776
0.027467	0.42215
-0.012165	-10.075
-0.043554	-19.586
-0.074782	-30.121
-0.10924	-43.547
-0.14059	-57.137
-0.18288	-77.735
-0.21072	-91.672
-0.24634	-110.47
-0.27699	-125.75
-0.22401	-90.628
-0.18062	-67.545
-0.14158	-48.208
-0.11503	-36.296
-0.079956	-22.827
-0.057231	-15.193
-0.029044	-6.7855
0.00030995	0.60507
0.00021674	0.55829
0.039834	11.743
0.072869	22.322
0.10721	35.573
0.14	50.43
0.17362	67.127
0.20441	83.183
0.23952	102.37
0.27054	118.43
0.22923	89.496
0.19843	71.117
0.16031	50.64
0.12738	35.446
0.096771	22.685
0.062775	10.442
0.027234	0.45163
-0.0087625	-8.8848
-0.044315	-19.223
-0.081531	-31.933
-0.10684	-41.509
-0.14628	-58.695
-0.18283	-75.758
-0.20871	-88.514
-0.24556	-107.82
-0.26772	-117.23
