0.00069731	-0.16986
0.00069592	-0.18011
0.0007126	-0.13171
0.00074701	-0.11029
0.00077004	-0.11481
0.0043565	3.2287
0.0042683	3.2768
0.0043583	3.3249
0.0044885	3.4557
0.0045735	3.5022
0.0084484	7.0339
0.012471	10.527
0.016902	13.676
0.014379	9.975
0.01425	9.8911
0.010462	6.5497
0.0071095	3.7358
0.0012863	-1.1537
-0.00084895	-2.8896
-0.0022813	-4.0275
-0.0024349	-4.248
-0.0054217	-6.7336
-0.0056073	-6.8708
-0.0055937	-6.7788
-0.0097348	-10.049
-0.0097852	-10.116
-0.014688	-13.715
-0.012535	-10.304
-0.0088119	-6.7613
-0.0049043	-3.5396
-0.00074982	-0.19891
0.0053409	4.4673
0.0088603	7.0185
0.013482	10.57
0.017507	13.813
0.014562	10.164
0.010771	6.6606
0.0062001	3.0407
0.0014873	-0.49408
-0.0026188	-3.6036
-0.0032132	-4.1957
-0.0071724	-7.1887
-0.011418	-10.777
-0.014812	-13.613
-0.012454	-10.153
-0.0089886	-6.9488
-0.0044877	-3.1785
-0.0001485	-0.003479
0.0051017	3.987
0.010369	8.0182
0.015402	12.061
0.016811	13.336
0.016769	12.431
0.014421	9.9106
0.010573	6.5579
0.0065772	3.3793
0.0021829	0.067017
-0.0032934	-3.9324
-0.0089683	-8.1498
-0.011453	-10.49
-0.015191	-13.77
-0.011759	-9.3035
-0.0083942	-6.2662
-0.004769	-3.3605
-0.000072247	-0.096252
0.000092037	-0.0065308
0.00011643	0.04657
0.009406	7.235
0.0096647	7.4357
0.017244	13.61
0.016134	9.3535
0.015864	9.168
0.012809	6.912
0.0044882	1.1058
0.00056856	-1.3849
-0.0060369	-6.6315
-0.0063529	-6.7997
-0.01493	-13.88
-0.024879	-20.732
-0.037242	-27.379
-0.031362	-19.786
-0.024082	-13.545
-0.012311	-5.0731
-0.003877	0.32654
0.012744	11.028
0.017841	14.459
0.026798	20.716
0.040343	27.168
0.04131	27.448
0.033449	19.291
0.025679	13.396
0.014408	5.947
0.0011355	-1.7665
-0.0015228	-3.1796
-0.0031275	-4.147
-0.0085922	-7.1702
-0.019059	-13.951
-0.028714	-20.845
-0.038065	-27.297
-0.0299	-18.265
-0.022724	-12.553
-0.014235	-6.8351
-0.0013631	0.59174
0.0030308	3.1155
0.0061991	4.8741
0.010881	7.4242
0.022711	14.623
0.031659	20.497
0.042375	27.531
0.029344	15.614
0.025864	13.305
0.013495	5.5608
0.0018024	-0.88776
