Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.00031091,0.00047417,0.00052912,0.00050342,0.00033373,0.00056581,0.00043629,0.00040288,0.00086098,0.00061199,0.00059053,0.00021415,0.00047399,0.00034055,0.00068363,0.00060533,0.00022217,0.00014316,0.00079372,0.00024789,0.00077591,0.00098835,0.00039665,0.00032562,0.0001357,0.00014961,0.00030068,0.00072317,0.00092095,0.00034558,0.0006675,0.00028087,0.00015086,0.00022618,0.00043456,0.00018483,0.00044299,0.00020666,0.00039589
0.02,0.0012519,0.0020152,0.0022794,0.0037755,0.0013727,0.0024285,0.0017473,0.0016107,0.0035961,0.0025091,0.0023309,0.00087632,0.0018983,0.0013629,0.0027402,0.0024257,0.00090099,0.00060035,0.00319,0.0010057,0.0031575,0.0039619,0.0015943,0.0013028,0.00055388,0.00060352,0.0012081,0.0028733,0.0036947,0.001389,0.0026984,0.0012526,0.00065027,0.0009291,0.0017421,0.00074214,0.0018936,0.00083583,0.0017236
0.03,0.0029114,0.0043641,0.0056317,0.010141,0.0030379,0.0058273,0.0044464,0.0036474,0.0077488,0.0056167,0.0058002,0.0021829,0.0043945,0.0030817,0.0063292,0.0054892,0.0020414,0.0013768,0.0078229,0.0022874,0.0073508,0.0089673,0.0036786,0.0029366,0.0012954,0.0013575,0.0027238,0.0077643,0.0083166,0.0032233,0.0060445,0.003953,0.0017769,0.0022011,0.0039884,0.0017329,0.0046869,0.0018931,0.0040007
0.04,0.0049669,0.0081748,0.011709,0.012038,0.0055191,0.014271,0.0081978,0.0065822,0.014513,0.010185,0.010005,0.0034891,0.0082927,0.0054641,0.011588,0.0098089,0.0036542,0.0024169,0.013602,0.0040761,0.013439,0.016142,0.0063235,0.0053309,0.0025126,0.0025511,0.0049227,0.013927,0.015322,0.0067506,0.011316,0.009591,0.0032517,0.0044261,0.0072303,0.0030988,0.0092224,0.0033647,0.0080646
0.05,0.0079818,0.013735,0.021289,0.030142,0.0086667,0.026026,0.011323,0.01035,0.022632,0.017244,0.015168,0.0062059,0.012939,0.0085855,0.019523,0.015418,0.0056602,0.0036567,0.026046,0.0063554,0.0217,0.026276,0.010254,0.0087434,0.0038672,0.0039347,0.0076616,0.027123,0.024574,0.0094945,0.018672,0.017343,0.0068855,0.0077335,0.011396,0.0049402,0.014452,0.0052552,0.012518
0.06,0.011407,0.020221,0.03283,0.04655,0.012357,0.049057,0.016225,0.015049,0.033919,0.027608,0.023539,0.0089702,0.020167,0.012724,0.029241,0.02229,0.0084926,0.0056302,0.036501,0.009282,0.032106,0.038469,0.014947,0.012965,0.0052634,0.0067969,0.011008,0.0399,0.039996,0.013629,0.027982,0.023003,0.010965,0.017019,0.016095,0.0081393,0.019647,0.0077509,0.019623
0.07,0.018035,0.024878,0.044074,0.043791,0.01719,0.063028,0.023499,0.020647,0.050383,0.038984,0.036025,0.014401,0.029214,0.017516,0.041457,0.031551,0.01252,0.0077743,0.051919,0.013656,0.044076,0.054643,0.020234,0.016981,0.010681,0.0094528,0.014789,0.053113,0.059208,0.020461,0.040173,0.036165,0.014746,0.027143,0.023712,0.011585,0.022989,0.010481,0.022388
0.08,0.023319,0.041169,0.057391,0.065511,0.023176,0.082107,0.040317,0.027386,0.062634,0.058729,0.056299,0.025337,0.036653,0.022584,0.050933,0.041114,0.016803,0.012244,0.073158,0.017671,0.06122,0.073608,0.028454,0.021903,0.0169,0.013789,0.019218,0.085241,0.085878,0.02806,0.052376,0.058346,0.017492,0.036919,0.038096,0.015611,0.037383,0.013638,0.0309
0.09,0.02869,0.065283,0.083535,0.086438,0.027787,0.085937,0.049279,0.035178,0.088906,0.077428,0.078463,0.028136,0.053881,0.030017,0.059852,0.057101,0.021638,0.016888,0.09859,0.022685,0.078706,0.094961,0.041365,0.02864,0.023537,0.019896,0.024965,0.099489,0.092826,0.037681,0.069352,0.10354,0.024363,0.059367,0.045844,0.01958,0.064353,0.016912,0.046865
0.1,0.034618,0.087097,0.11761,0.12435,0.038048,0.11482,0.049442,0.044755,0.10289,0.080298,0.10335,0.029378,0.062276,0.036525,0.072031,0.076475,0.031327,0.026729,0.11578,0.0265,0.10027,0.12046,0.056563,0.032998,0.028114,0.023545,0.030748,0.14602,0.10406,0.042678,0.088034,0.09894,0.034242,0.060492,0.062104,0.030419,0.072023,0.024137,0.049654
0.11,0.044512,0.1088,0.1436,0.14116,0.049887,0.12441,0.064619,0.052468,0.12509,0.10149,0.10655,0.044789,0.072385,0.043231,0.11112,0.11074,0.042256,0.026545,0.14333,0.03264,0.12134,0.13274,0.058528,0.040763,0.028182,0.035093,0.037471,0.22742,0.15406,0.067917,0.10278,0.098338,0.052408,0.064302,0.085163,0.038985,0.076327,0.033118,0.070076
0.12,0.051936,0.08497,0.16406,0.13576,0.059919,0.12158,0.10528,0.067072,0.16407,0.11815,0.1212,0.064879,0.098896,0.050381,0.14496,0.13226,0.053362,0.035415,0.16035,0.04076,0.14417,0.16224,0.071556,0.057592,0.032941,0.055449,0.043079,0.36969,0.20777,0.069437,0.12484,0.091788,0.05532,0.074158,0.11012,0.06053,0.10841,0.045259,0.095473
0.13,0.0621,0.12094,0.18312,0.11215,0.069495,0.16905,0.14108,0.080826,0.20349,0.16328,0.14048,0.072371,0.12847,0.065316,0.20804,0.15735,0.055068,0.04511,0.17398,0.048131,0.17911,0.20012,0.099162,0.075492,0.037043,0.072465,0.052947,0.35733,0.24783,0.076901,0.13866,0.099317,0.057489,0.11352,0.1653,0.088992,0.15783,0.056626,0.1328
0.14,0.078201,0.14821,0.21418,0.1028,0.078895,0.23187,0.18739,0.083577,0.25097,0.1567,0.15224,0.072939,0.13204,0.072204,0.24614,0.20207,0.06273,0.051244,0.19901,0.064281,0.21253,0.27419,0.12803,0.094702,0.051387,0.078256,0.065727,0.33286,0.27994,0.099946,0.17962,0.095508,0.059786,0.11866,0.20352,0.10409,0.18895,0.070534,0.12374
0.15,0.093813,0.15074,0.2435,0.11346,0.097216,0.34606,0.21332,0.1057,0.29468,0.16472,0.17524,0.074597,0.15883,0.085682,0.23043,0.21564,0.083526,0.065152,0.23035,0.066988,0.22938,0.32507,0.15745,0.10305,0.071152,0.092356,0.078932,0.3545,0.29799,0.11134,0.20417,0.10835,0.070648,0.14673,0.24,0.089428,0.24292,0.093349,0.15352
0.16,0.11196,0.18161,0.30368,0.13239,0.11533,0.43636,0.24339,0.13263,0.35103,0.18466,0.19066,0.094629,0.20122,0.090495,0.26495,0.27305,0.099301,0.084513,0.2697,0.074533,0.26954,0.34871,0.15203,0.12894,0.094752,0.11676,0.095092,0.4875,0.35812,0.12236,0.22783,0.13122,0.10449,0.14896,0.25777,0.095993,0.26396,0.098413,0.18715
0.17,0.12531,0.27689,0.34337,0.16978,0.12319,0.43057,0.27599,0.17573,0.42021,0.23834,0.21682,0.11745,0.24583,0.12924,0.34144,0.33222,0.12953,0.10491,0.30515,0.084782,0.26181,0.47225,0.164,0.14946,0.10477,0.14192,0.11034,0.61528,0.51754,0.13881,0.24467,0.16069,0.11296,0.19534,0.30451,0.1117,0.27475,0.11354,0.21118
0.18,0.14316,0.33888,0.38641,0.18697,0.16441,0.4476,0.32215,0.22151,0.46565,0.30737,0.29903,0.10917,0.25908,0.17069,0.37706,0.37833,0.15136,0.11938,0.33926,0.099389,0.33101,0.60341,0.17394,0.15978,0.11953,0.15698,0.12374,0.69606,0.67478,0.1485,0.30817,0.15688,0.14022,0.23193,0.33016,0.121,0.28245,0.13681,0.20847
0.19,0.15822,0.3831,0.42606,0.21111,0.18985,0.46007,0.37288,0.2332,0.53484,0.3632,0.33058,0.12688,0.42286,0.18288,0.47846,0.50071,0.15539,0.10882,0.41049,0.12073,0.34948,0.65062,0.20087,0.18434,0.13571,0.15345,0.13944,0.86569,0.67534,0.20314,0.38413,0.18536,0.14721,0.20595,0.33154,0.14008,0.2937,0.16534,0.22843
0.2,0.18529,0.41232,0.45854,0.25346,0.21208,0.46756,0.41172,0.22301,0.62844,0.41752,0.33837,0.14865,0.58113,0.18158,0.5724,0.58482,0.17144,0.1147,0.41103,0.14509,0.41308,0.63772,0.21547,0.22808,0.13686,0.13708,0.15611,0.70217,0.63208,0.24382,0.46311,0.18726,0.14451,0.16657,0.38814,0.14736,0.33635,0.18491,0.25955
0.21,0.21419,0.45483,0.5183,0.28506,0.22947,0.40145,0.43224,0.24658,0.69568,0.44554,0.37823,0.16823,0.70401,0.19725,0.66185,0.63144,0.19685,0.14106,0.56241,0.16666,0.50998,0.68869,0.27566,0.26017,0.13735,0.12198,0.18105,0.71,0.65718,0.28673,0.48789,0.21964,0.17834,0.2236,0.44312,0.16097,0.42512,0.19619,0.27078
