Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.31765,0.48445,0.5406,0.51434,0.34097,0.57808,0.44575,0.41162,0.87966,0.62527,0.60334,0.2188,0.48428,0.34793,0.69847,0.61846,0.22699,0.14627,0.81094,0.25327,0.79275,1.0098,0.40525,0.33268,0.13864,0.15286,0.3072,0.73886,0.94093,0.35308,0.68199,0.28697,0.15413,0.23109,0.44399,0.18884,0.4526,0.21115,0.40448
0.02,0.31977,0.51472,0.58223,0.96435,0.35063,0.62029,0.4463,0.4114,0.91854,0.64089,0.59537,0.22383,0.48488,0.34812,0.69993,0.61958,0.23013,0.15334,0.8148,0.25688,0.8065,1.012,0.40723,0.33277,0.14147,0.15415,0.30859,0.73391,0.94372,0.35478,0.68924,0.31995,0.16609,0.23731,0.44498,0.18956,0.48367,0.21349,0.44026
0.03,0.33051,0.49542,0.63932,1.1512,0.34487,0.66152,0.50476,0.41407,0.87966,0.63762,0.65845,0.24781,0.49888,0.34984,0.7185,0.62315,0.23174,0.1563,0.88807,0.25967,0.83448,1.018,0.4176,0.33337,0.14705,0.15411,0.30921,0.88142,0.94412,0.36592,0.68619,0.44875,0.20172,0.24987,0.45277,0.19673,0.53206,0.21491,0.45417
0.04,0.31717,0.52201,0.74767,0.76869,0.35243,0.91127,0.52348,0.42032,0.92676,0.65038,0.63889,0.2228,0.52954,0.34892,0.73995,0.62636,0.23334,0.15433,0.86858,0.26028,0.85818,1.0308,0.4038,0.34041,0.16045,0.16291,0.31434,0.88931,0.97837,0.43107,0.72259,0.61245,0.20764,0.28264,0.4617,0.19788,0.58891,0.21486,0.51497
0.05,0.3262,0.56133,0.87002,1.2318,0.35419,1.0636,0.46277,0.42297,0.92491,0.70474,0.61987,0.25362,0.52881,0.35087,0.79787,0.6301,0.23132,0.14944,1.0644,0.25973,0.88682,1.0738,0.41905,0.35733,0.15805,0.1608,0.31311,1.1085,1.0043,0.38802,0.76309,0.70878,0.28139,0.31605,0.46574,0.2019,0.59061,0.21477,0.5116
0.06,0.32372,0.57388,0.93174,1.3211,0.35068,1.3923,0.46049,0.42709,0.96264,0.78354,0.66804,0.25458,0.57235,0.3611,0.82986,0.6326,0.24102,0.15979,1.0359,0.26343,0.91118,1.0918,0.42419,0.36794,0.14938,0.1929,0.31242,1.1324,1.1351,0.38679,0.79414,0.65284,0.3112,0.483,0.45678,0.231,0.55758,0.21998,0.55692
0.07,0.37604,0.51872,0.91899,0.91309,0.35843,1.3142,0.48998,0.43051,1.0505,0.81284,0.75116,0.30028,0.60914,0.36522,0.86441,0.65786,0.26105,0.1621,1.0826,0.28475,0.91903,1.1394,0.4219,0.35408,0.22272,0.1971,0.30837,1.1075,1.2345,0.42663,0.83764,0.75408,0.30747,0.56597,0.49442,0.24155,0.47933,0.21854,0.4668
0.08,0.37227,0.65723,0.91619,1.0458,0.36998,1.3108,0.64363,0.43718,0.9999,0.93755,0.89877,0.40448,0.58513,0.36053,0.8131,0.65634,0.26824,0.19547,1.1679,0.2821,0.97731,1.1751,0.45425,0.34966,0.26979,0.22013,0.30679,1.3608,1.371,0.44795,0.83614,0.93144,0.27925,0.58938,0.60817,0.24921,0.59678,0.21772,0.49328
0.09,0.36189,0.82345,1.0537,1.0903,0.35049,1.084,0.62158,0.44372,1.1214,0.97664,0.9897,0.35489,0.67963,0.37862,0.75495,0.72024,0.27293,0.21301,1.2436,0.28614,0.99276,1.1978,0.52176,0.36125,0.29689,0.25096,0.3149,1.2549,1.1709,0.4753,0.87477,1.306,0.30731,0.74883,0.57825,0.24697,0.81172,0.21332,0.59114
0.1,0.35369,0.88987,1.2016,1.2705,0.38874,1.1731,0.50515,0.45726,1.0512,0.8204,1.056,0.30015,0.63627,0.37317,0.73594,0.78134,0.32007,0.27309,1.1829,0.27075,1.0245,1.2307,0.57791,0.33714,0.28725,0.24056,0.31415,1.4919,1.0632,0.43604,0.89944,1.0109,0.34985,0.61804,0.63451,0.31079,0.73586,0.2466,0.50731
