10252 10201  1 2
10253 10202  1 2
10254 10203  1 2
10255 10204  1 2
10256 10205  1 2
10257 10206  1 2
10258 10207  1 2
10259 10208  1 2
10260 10209  1 2
10261 10210  1 2
10262 10211  1 2
10263 10212  1 2
10264 10213  1 2
10265 10214  1 2
10266 10215  1 2
10267 10216  1 2
10268 10217  1 2
10269 10218  1 2
10270 10219  1 2
10271 10220  1 2
10272 10221  1 2
10273 10222  1 2
10274 10223  1 2
10275 10224  1 2
10276 10225  1 2
10277 10226  1 2
10278 10227  1 2
10279 10228  1 2
10280 10229  1 2
10281 10230  1 2
10282 10231  1 2
10283 10232  1 2
10284 10233  1 2
10285 10234  1 2
10286 10235  1 2
10287 10236  1 2
10288 10237  1 2
10289 10238  1 2
10290 10239  1 2
10291 10240  1 2
10292 10241  1 2
10293 10242  1 2
10294 10243  1 2
10295 10244  1 2
10296 10245  1 2
10297 10246  1 2
10298 10247  1 2
10299 10248  1 2
10300 10249  1 2
10301 10250  1 2
52 1  1 2
53 2  1 2
54 3  1 2
55 4  1 2
56 5  1 2
57 6  1 2
58 7  1 2
59 8  1 2
60 9  1 2
61 10  1 2
62 11  1 2
63 12  1 2
64 13  1 2
65 14  1 2
66 15  1 2
67 16  1 2
68 17  1 2
69 18  1 2
70 19  1 2
71 20  1 2
72 21  1 2
73 22  1 2
74 23  1 2
75 24  1 2
76 25  1 2
77 26  1 2
78 27  1 2
79 28  1 2
80 29  1 2
81 30  1 2
82 31  1 2
83 32  1 2
84 33  1 2
85 34  1 2
86 35  1 2
87 36  1 2
88 37  1 2
89 38  1 2
90 39  1 2
91 40  1 2
92 41  1 2
93 42  1 2
94 43  1 2
95 44  1 2
96 45  1 2
97 46  1 2
102 47  1 2
108 48  1 2
113 49  1 2
117 50  1 2
10302 51  1
10302 121  1
10302 168  1
10302 216  1
10302 262  1
10302 308  1
10302 357  1
10302 408  1
10302 459  1
10302 510  1
10302 561  1
10302 612  1
10302 663  1
10302 714  1
10302 765  1
10302 816  1
10302 867  1
10302 918  1
10302 969  1
10302 1020  1
10302 1071  1
10302 1122  1
10302 1176  1
10302 1229  1
10302 1282  1
10302 1335  1
10302 1388  1
10302 1440  1
10302 1493  1
10302 1545  1
10302 1597  1
10302 1649  1
10302 1701  1
10302 1753  1
10302 1805  1
10302 1857  1
10302 1909  1
10302 1961  1
10302 2012  1
10302 2064  1
10302 2116  1
10302 2167  1
10302 2219  1
10302 2271  1
10302 2322  1
10302 2374  1
10302 2425  1
10302 2477  1
10302 2528  1
10302 2580  1
10302 2631  1
10302 2683  1
10302 2734  1
10302 2785  1
10302 2837  1
10302 2888  1
10302 2940  1
10302 2991  1
10302 3042  1
10302 3094  1
10302 3145  1
10302 3196  1
10302 3248  1
10302 3299  1
10302 3350  1
10302 3406  1
10302 3460  1
10302 3513  1
10302 3565  1
10302 3617  1
10302 3671  1
10302 3723  1
10302 3775  1
10302 3827  1
10302 3878  1
10302 3930  1
10302 3983  1
10302 4034  1
10302 4086  1
10302 4138  1
10302 4189  1
10302 4241  1
10302 4293  1
10302 4345  1
10302 4396  1
10302 4447  1
10302 4499  1
10302 4550  1
10302 4601  1
10302 4653  1
10302 4704  1
10302 4756  1
10302 4808  1
10302 4859  1
10302 4910  1
10302 4961  1
10302 5012  1
10302 5064  1
10302 5115  1
10302 5166  1
10302 5217  1
10302 5268  1
10302 5319  1
10302 5371  1
10302 5422  1
10302 5473  1
10302 5524  1
10302 5575  1
10302 5626  1
10302 5677  1
10302 5728  1
10302 5779  1
10302 5830  1
10302 5881  1
10302 5932  1
10302 5983  1
10302 6034  1
10302 6085  1
10302 6136  1
10302 6187  1
10302 6238  1
10302 6291  1
10302 6342  1
10302 6393  1
10302 6444  1
10302 6495  1
10302 6545  1
10302 6596  1
10302 6647  1
10302 6698  1
10302 6749  1
10302 6799  1
10302 6850  1
10302 6901  1
10302 6952  1
10302 7003  1
10302 7054  1
10302 7105  1
10302 7156  1
10302 7207  1
10302 7258  1
10302 7308  1
10302 7359  1
10302 7410  1
10302 7461  1
10302 7512  1
10302 7563  1
10302 7614  1
10302 7665  1
10302 7716  1
10302 7767  1
10302 7818  1
10302 7869  1
10302 7920  1
10302 7970  1
10302 8021  1
10302 8072  1
10302 8123  1
10302 8174  1
10302 8225  1
10302 8278  1
10302 8339  1
10302 8386  1
10302 8434  1
10302 8484  1
10302 8534  1
10302 8583  1
10302 8633  1
10302 8683  1
10302 8731  1
10302 8780  1
10302 8827  1
10302 8872  1
10302 8912  1
10302 8960  1
10302 9009  1
10302 9059  1
10302 9108  1
10302 9156  1
10302 9204  1
10302 9251  1
10302 9296  1
10302 9333  1
10302 9384  1
10302 9435  1
10302 9486  1
10302 9537  1
10302 9588  1
10302 9639  1
10302 9690  1
10302 9741  1
10302 9792  1
10302 9843  1
10302 9894  1
10302 9945  1
10302 9996  1
10302 10047  1
10302 10098  1
10302 10149  1
10302 10200  1
10302 10251  1
