Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.32767,0.61015,0.1665,0.5406,0.51434,0.64697,0.57808,0.20773,0.44575,0.41162,0.75293,0.87966,0.62527,0.83447,0.34793,0.69847,0.61846,0.16542,0.22699,0.81094,0.34228,0.16044,0.79275,1.0098,0.40525,0.33268,0.94093,0.48173,0.35308,0.68199,0.45092,0.2208,0.19754,0.44399,0.8058,0.19074,0.40448,0.24703,0.25539
0.02,0.35365,0.77315,0.16664,0.58223,0.96435,0.66382,0.62029,0.20868,0.4463,0.4114,0.75234,0.91854,0.64089,0.83702,0.34812,0.69993,0.61958,0.16622,0.23013,0.8148,0.35651,0.16166,0.8065,1.012,0.40723,0.33277,0.94372,0.48765,0.35478,0.68924,0.47151,0.222,0.20005,0.44498,0.87827,0.19139,0.44026,0.25005,0.25683
0.03,0.43141,0.91245,0.19909,0.63932,1.1512,0.6479,0.66152,0.21206,0.50476,0.41407,0.7803,0.87966,0.63762,0.8469,0.34984,0.7185,0.62315,0.16635,0.23174,0.88807,0.37733,0.16428,0.83448,1.018,0.4176,0.33337,0.94412,0.50203,0.36592,0.68619,0.4811,0.22743,0.21018,0.45277,0.88321,0.19285,0.45417,0.26425,0.25749
0.04,0.415,0.85096,0.22957,0.74767,0.76869,0.6633,0.91127,0.2096,0.52348,0.42032,0.80302,0.92676,0.65038,0.85136,0.34892,0.73995,0.62636,0.18194,0.23334,0.86858,0.37952,0.1786,0.85818,1.0308,0.4038,0.34041,0.97837,0.54489,0.43107,0.72259,0.61116,0.23318,0.28168,0.4617,1.129,0.2061,0.51497,0.31,0.28761
0.05,0.4805,0.8358,0.27047,0.87002,1.2318,0.72877,1.0636,0.23887,0.46277,0.42297,0.78506,0.92491,0.70474,0.8422,0.35087,0.79787,0.6301,0.20065,0.23132,1.0644,0.41531,0.17357,0.88682,1.0738,0.41905,0.35733,1.0043,0.53146,0.38802,0.76309,0.7479,0.23503,0.30968,0.46574,1.464,0.19668,0.5116,0.48396,0.31049
0.06,0.51387,0.89425,0.3353,0.93174,1.3211,0.77624,1.3923,0.24843,0.46049,0.42709,0.89926,0.96264,0.78354,0.859,0.3611,0.82986,0.6326,0.21566,0.24102,1.0359,0.44068,0.18496,0.91118,1.0918,0.42419,0.36794,1.1351,0.52322,0.38679,0.79414,0.79271,0.22798,0.42719,0.45678,0.9636,0.20834,0.55692,0.41213,0.36103
0.07,0.53783,0.78263,0.32991,0.91899,0.91309,0.78557,1.3142,0.25579,0.48998,0.43051,0.93095,1.0505,0.81284,0.86385,0.36522,0.86441,0.65786,0.21647,0.26105,1.0826,0.51087,0.27608,0.91903,1.1394,0.4219,0.35408,1.2345,0.59907,0.42663,0.83764,1.1583,0.24155,0.40661,0.49442,1.0262,0.24243,0.4668,0.38665,0.329
0.08,0.65019,0.86542,0.26761,0.91619,1.0458,0.76629,1.3108,0.24836,0.64363,0.43718,0.98815,0.9999,0.93755,0.8721,0.36053,0.8131,0.65634,0.29926,0.26824,1.1679,0.52111,0.23254,0.97731,1.1751,0.45425,0.34966,1.371,0.56967,0.44795,0.83614,1.5707,0.25408,0.39507,0.60817,0.83181,0.23404,0.49328,0.45906,0.39467
0.09,0.79234,1.1156,0.27952,1.0537,1.0903,0.80139,1.084,0.32111,0.62158,0.44372,0.99863,1.1214,0.97664,0.90947,0.37862,0.75495,0.72024,0.27885,0.27293,1.2436,0.52721,0.27801,0.99276,1.1978,0.52176,0.36125,1.1709,0.68566,0.4753,0.87477,1.151,0.27232,0.49944,0.57825,1.1445,0.22785,0.59114,0.37643,0.56973
0.1,0.83854,0.98643,0.27442,1.2016,1.2705,0.88039,1.1731,0.30325,0.50515,0.45726,1.0276,1.0512,0.8204,0.90617,0.37317,0.73594,0.78134,0.26092,0.32007,1.1829,0.61105,0.30329,1.0245,1.2307,0.57791,0.33714,1.0632,0.71958,0.43604,0.89944,1.1526,0.26616,0.49603,0.63451,1.2277,0.26043,0.50731,0.40479,0.57014
0.11,1.0776,1.3292,0.35981,1.2125,1.1919,0.77855,1.0505,0.39253,0.54563,0.44303,1.072,1.0562,0.85699,0.88822,0.36503,0.93831,0.93502,0.26747,0.3568,1.2103,0.54603,0.32924,1.0246,1.1208,0.4942,0.3442,1.3008,0.74235,0.57348,0.86782,1.2117,0.27716,0.43504,0.7191,1.1153,0.26106,0.59171,0.50123,0.55411
0.12,1.1621,1.508,0.37844,1.1641,0.96323,0.76024,0.86266,0.48737,0.74696,0.47589,1.0632,1.1641,0.8383,0.8852,0.35746,1.0285,0.93841,0.27047,0.37861,1.1377,0.65072,0.364,1.0229,1.1511,0.5077,0.40862,1.4742,0.7745,0.49267,0.88573,1.367,0.29939,0.47201,0.78129,1.1628,0.3065,0.6774,0.44218,0.51838
0.13,1.2684,1.5064,0.42619,1.107,0.67801,0.86281,1.022,0.47592,0.8529,0.48864,1.0779,1.2302,0.98713,1.1355,0.39487,1.2577,0.95126,0.26634,0.33291,1.0518,0.67759,0.40296,1.0828,1.2098,0.59949,0.45639,1.4982,0.8961,0.46491,0.83828,1.156,0.31963,0.56161,0.99933,1.2543,0.33521,0.80284,0.40151,0.59658
0.14,1.1926,1.3126,0.43708,1.1165,0.53589,0.91171,1.2087,0.36097,0.97682,0.43566,1.0614,1.3083,0.81682,1.2145,0.37638,1.283,1.0533,0.28338,0.327,1.0374,0.62612,0.38979,1.1079,1.4293,0.66739,0.49366,1.4593,0.81056,0.52099,0.93634,0.95571,0.31013,0.65486,1.0609,1.2886,0.35315,0.645,0.47728,0.5937
0.15,1.3912,1.0485,0.38765,1.1057,0.5152,0.95002,1.5714,0.35785,0.96868,0.47997,1.0516,1.3381,0.74798,1.038,0.38907,1.0464,0.9792,0.33152,0.37928,1.046,0.76675,0.42659,1.0416,1.4761,0.71496,0.46793,1.3532,0.77082,0.50558,0.92712,0.82435,0.31118,0.80885,1.0898,1.3598,0.43506,0.69713,0.45234,0.6374
0.16,1.2374,1.0656,0.35445,1.212,0.52837,1.0206,1.7415,0.3492,0.97137,0.52933,1.3115,1.401,0.73697,1.0972,0.36117,1.0574,1.0897,0.29053,0.39631,1.0764,0.92336,0.51769,1.0757,1.3917,0.60675,0.51461,1.4293,0.70402,0.48836,0.90926,0.74752,0.2979,0.92733,1.0287,1.3623,0.41036,0.74691,0.53631,0.54984
0.17,1.2656,1.1487,0.33908,1.2139,0.60021,1.0994,1.5222,0.41147,0.97571,0.62125,1.6368,1.4855,0.84259,1.1591,0.45691,1.2071,1.1745,0.34391,0.45792,1.0788,0.94767,0.50067,0.92556,1.6695,0.57978,0.52839,1.8297,0.95815,0.49074,0.86499,0.68162,0.36741,0.85851,1.0765,1.199,0.4476,0.74659,0.53271,0.43201
0.18,1.3838,1.181,0.3063,1.2185,0.5896,1.1062,1.4115,0.42918,1.0159,0.69852,1.7227,1.4684,0.96927,1.0087,0.53825,1.189,1.193,0.32377,0.47731,1.0698,0.83612,0.4913,1.0438,1.9028,0.54852,0.50384,2.1279,0.79096,0.46827,0.97176,0.62126,0.45926,0.75499,1.0411,1.1174,0.46284,0.65738,0.61447,0.41657
0.19,1.4521,1.207,0.36235,1.2058,0.59748,1.0897,1.3021,0.33218,1.0553,0.66001,1.7084,1.5137,1.0279,1.0126,0.51758,1.3541,1.4171,0.33775,0.43978,1.1618,0.7088,0.4577,0.98909,1.8414,0.5685,0.52172,1.9113,0.70106,0.57491,1.0872,0.61355,0.54429,0.61661,0.93833,0.94128,0.55115,0.64651,0.57742,0.51082
0.2,1.2666,1.1827,0.43485,1.1712,0.6474,1.0202,1.1943,0.39972,1.0516,0.56961,1.5566,1.6052,1.0664,1.0984,0.46379,1.4621,1.4938,0.39856,0.4379,1.0499,0.65928,0.46629,1.0551,1.6289,0.55037,0.58257,1.6145,0.58661,0.62278,1.1829,0.62071,0.5749,0.56439,0.9914,1.1308,0.52541,0.66295,0.58699,0.51423
0.21,0.97062,1.1425,0.44712,1.2008,0.66042,1.1817,0.93007,0.48563,1.0014,0.57127,1.4111,1.6117,1.0322,1.1124,0.45698,1.5333,1.4629,0.44317,0.45606,1.303,0.61023,0.45877,1.1815,1.5955,0.63864,0.60276,1.5225,0.56209,0.6643,1.1303,0.66952,0.49571,0.64623,1.0266,1.3844,0.53045,0.62733,0.55639,0.57035
0.22,0.74335,1.0815,0.48135,1.2109,0.67274,1.3595,0.92775,0.49411,0.93623,0.57862,1.428,1.3815,0.94282,1.1104,0.46494,1.643,1.3379,0.50682,0.47753,1.6187,0.64262,0.50911,1.2143,1.7736,0.73556,0.61527,1.4008,0.55981,0.67458,1.0134,0.76002,0.42718,0.70824,1.1088,1.4185,0.50139,0.63331,0.56008,0.51253
0.23,0.74171,1.0046,0.49975,1.194,0.75815,1.5202,0.90953,0.50319,0.84591,0.56863,1.5057,1.3784,0.90574,1.1665,0.5399,1.7184,1.2606,0.52547,0.53537,1.8509,0.54793,0.58258,1.1559,1.9165,0.83601,0.61128,1.453,0.56975,0.66484,0.94922,0.77863,0.41655,0.6838,1.3115,1.342,0.47734,0.63263,0.58943,0.47348
0.24,0.75283,1.0269,0.5165,1.1703,0.83429,1.6994,0.99511,0.46927,0.74728,0.53091,1.5498,1.5838,0.91663,1.3702,0.64326,1.5562,1.2093,0.46928,0.56848,2.0228,0.50589,0.48585,0.97841,1.8879,0.87921,0.64963,1.547,0.58817,0.63299,1.0549,0.70227,0.40076,0.69075,1.4825,1.16,0.48501,0.56102,0.77499,0.52724
0.25,0.79418,1.0094,0.5727,1.1387,0.89496,1.8519,1.256,0.42812,0.82908,0.60633,1.2755,1.7672,0.98294,1.6597,0.63875,1.2005,1.1619,0.5517,0.57085,2.0225,0.55785,0.44311,0.8834,1.7667,0.8765,0.67863,1.7238,0.52177,0.74344,1.1728,0.68223,0.46241,0.75816,1.7283,0.87988,0.52717,0.50558,0.9207,0.51558
0.26,0.72382,0.94297,0.60387,1.1053,0.84649,1.9736,1.4029,0.43148,1.0608,0.61145,1.1503,1.7499,1.026,1.8419,0.59071,0.98629,1.1992,0.64458,0.61577,1.8163,0.56126,0.48445,0.96707,1.669,0.8693,0.68473,1.8215,0.54871,0.84142,1.1832,0.73209,0.51036,0.77953,1.8801,0.91368,0.55329,0.51855,0.92902,0.48075
0.27,0.60711,0.95695,0.60475,1.0749,0.74695,2.0726,1.3821,0.44766,1.1964,0.65387,1.167,1.7359,1.0155,1.7614,0.53893,0.92826,1.2264,0.7208,0.65129,1.6547,0.60306,0.46853,1.1171,1.6422,1.0177,0.67941,1.9128,0.55668,0.78093,1.2046,0.62788,0.56195,0.68425,2.0766,1.1286,0.60904,0.49958,0.81207,0.4853
0.28,0.55581,0.95289,0.58073,1.0421,0.74269,2.134,1.4022,0.50494,1.1677,0.75171,1.1888,1.805,0.95267,1.827,0.47875,1.0472,1.2267,0.70111,0.6086,1.7035,0.75758,0.49483,1.2044,1.6194,1.0761,0.61308,1.9397,0.57261,0.79349,1.1955,0.53737,0.54209,0.56918,2.0927,1.1309,0.61374,0.53673,0.78175,0.4864
0.29,0.55338,1.0563,0.52994,1.004,0.75127,2.1613,1.4621,0.50205,0.99105,0.86439,1.2169,1.8513,0.97443,1.816,0.4062,1.1055,1.1957,0.60786,0.6247,1.7476,0.78253,0.44552,1.0915,1.6433,1.1612,0.5402,1.8089,0.60363,0.77578,1.0893,0.54131,0.50151,0.51827,2.0182,1.0985,0.65423,0.60181,0.69304,0.53351
0.3,0.54471,1.1704,0.45806,0.96949,0.86579,2.1638,1.5006,0.44555,0.88568,0.91354,1.2527,1.8399,1.0122,1.8909,0.44071,1.0047,1.2434,0.5319,0.5926,1.7294,0.69183,0.47838,0.93255,1.7516,1.2512,0.60134,1.7393,0.58416,0.73127,1.06,0.5586,0.46888,0.493,2.1181,1.1373,0.6631,0.69332,0.68107,0.54625
0.31,0.56286,1.2281,0.38428,0.94296,0.90441,2.1348,1.5072,0.36701,0.87306,0.86127,1.2841,1.7836,0.96925,2.0827,0.44326,0.88063,1.3147,0.47995,0.62833,1.6361,0.5983,0.49889,0.89849,1.7444,1.2879,0.68613,1.8669,0.57114,0.75787,0.99041,0.57744,0.44107,0.43937,2.174,1.1584,0.69177,0.79605,0.6536,0.60717
0.32,0.60273,1.2376,0.3305,0.93348,0.8657,2.0613,1.4347,0.28543,0.84979,0.78657,1.303,1.7246,0.98314,2.2163,0.46504,0.85102,1.3283,0.44161,0.59077,1.4883,0.58574,0.45651,0.82372,1.6413,1.2539,0.69635,1.9858,0.61084,0.76993,0.91195,0.61544,0.43234,0.38914,2.0115,1.1124,0.7582,0.82934,0.64477,0.64329
0.33,0.63758,1.2265,0.286,1.115,0.78581,1.9412,1.2071,0.27192,0.79569,0.81882,1.3095,1.6974,0.94639,2.4416,0.46802,0.90044,1.3167,0.40665,0.56579,1.4107,0.57712,0.44451,0.96208,1.592,1.253,0.66325,2.0022,0.65045,0.84893,1.0237,0.63879,0.43844,0.42054,1.8649,1.0307,0.81345,0.77123,0.66049,0.7882
0.34,0.66523,1.226,0.26318,1.2757,0.72327,1.8039,1.096,0.27134,0.72121,0.91676,1.3051,1.7247,0.93714,2.623,0.43925,1.035,1.3443,0.37147,0.56734,1.3472,0.57128,0.40832,1.0622,1.4961,1.3616,0.6499,1.9982,0.65804,0.87179,1.097,0.63359,0.51282,0.46726,1.7383,0.91559,0.79798,0.73444,0.67866,0.84475
0.35,0.69105,1.1216,0.23871,1.2752,0.69973,1.654,1.1077,0.26076,0.65026,0.97915,1.2892,1.8581,0.93868,2.6726,0.44946,1.1407,1.4266,0.37975,0.5976,1.3471,0.59369,0.39098,1.1066,1.4321,1.4408,0.64734,2.0399,0.63567,0.88847,1.0943,0.57738,0.53729,0.47741,1.6701,0.89666,0.69899,0.67137,0.67598,0.80546
0.36,0.68331,1.1486,0.21686,1.1515,0.68202,1.6364,1.099,0.27208,0.6417,0.99806,1.2646,1.9009,0.94951,2.5479,0.47358,1.1809,1.577,0.35786,0.60598,1.466,0.53308,0.36566,1.0577,1.5224,1.4873,0.64403,2.1002,0.60757,0.9528,1.0612,0.58883,0.51817,0.45526,1.7178,0.93457,0.6151,0.58739,0.64507,0.77306
0.37,0.67613,1.2054,0.196,1.0125,0.63872,1.6244,1.0657,0.30011,0.64864,1.0033,1.2397,1.8976,1.0085,2.4426,0.48078,1.1692,1.6775,0.32504,0.55036,1.7097,0.53911,0.38452,0.97157,1.7114,1.5015,0.6559,2.1324,0.60641,1.0148,1.1325,0.56934,0.48831,0.42294,1.7607,1.0019,0.5952,0.50437,0.68708,0.76079
0.38,0.66675,1.3836,0.1751,0.93718,0.58022,1.6391,1.0961,0.31633,0.71353,1.0108,1.2249,1.9452,1.04,2.442,0.48004,1.1382,1.789,0.3035,0.53488,1.7753,0.57105,0.40874,0.89707,1.8515,1.5174,0.69449,2.1325,0.65099,1.0941,1.1828,0.52664,0.46487,0.42127,1.8036,1.049,0.5512,0.4911,0.71774,0.67829
0.39,0.64162,1.5075,0.17853,0.92161,0.56872,1.6537,1.1987,0.31683,0.81443,1.0099,1.2259,1.9697,1.0468,2.3732,0.47502,1.1977,1.7839,0.27623,0.53392,1.7504,0.54455,0.42582,0.81996,1.9624,1.739,0.74069,2.1259,0.70024,1.0868,1.1322,0.4726,0.436,0.48404,1.8292,1.0353,0.51213,0.49141,0.68666,0.60489
0.4,0.60117,1.5987,0.18035,0.90963,0.51935,1.6635,1.3071,0.31848,0.91469,0.97227,1.2405,1.9722,1.0279,2.1827,0.47291,1.2611,1.6194,0.30953,0.5712,1.7558,0.47599,0.4568,0.7839,2.0217,1.8716,0.76147,2.1276,0.70332,1.0202,1.0443,0.42912,0.4344,0.4997,1.8239,1.0716,0.4719,0.49028,0.6202,0.62288
