Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,0.0012777,0.00077573,0.00084031,0.00047417,0.00052912,0.00050342,0.00033373,0.00034628,0.00042959,0.00056581,0.00037929,0.0014249,0.00071605,0.00040288,0.00056041,0.00086098,0.00061199,0.0008351,0.00060533,0.00079372,0.00077591,0.00048861,0.00050461,0.00098835,0.00039665,0.0004715,0.00088872,0.00096244,0.00034558,0.0006675,0.0004147,0.00052957,0.00043456,0.00078868,0.00044299,0.00038057,0.0005976,0.00036415,0.00031545,0.00032485
0.02,0.0051994,0.004402,0.0033761,0.0020152,0.0022794,0.0037755,0.0013727,0.00142,0.0019353,0.0024285,0.0015156,0.0065412,0.0039816,0.0016107,0.0022386,0.0035961,0.0025091,0.0033702,0.0024257,0.00319,0.0031575,0.0019799,0.0021987,0.0039619,0.0015943,0.0019092,0.0036156,0.0039511,0.001389,0.0026984,0.0017565,0.0021377,0.0017421,0.0034385,0.0018936,0.0015103,0.002861,0.0014684,0.0012538,0.0013004
0.03,0.014588,0.012912,0.0075141,0.0043641,0.0056317,0.010141,0.0030379,0.0032334,0.0043703,0.0058273,0.0035707,0.016814,0.01152,0.0036474,0.0051007,0.0077488,0.0056167,0.0079084,0.0054892,0.0078229,0.0073508,0.004612,0.0047785,0.0089673,0.0036786,0.0044223,0.0080286,0.009078,0.0032233,0.0060445,0.0039077,0.0055804,0.0039884,0.00778,0.0046869,0.0037776,0.0067167,0.0033257,0.0028986,0.0029765
0.04,0.026026,0.027244,0.015759,0.0081748,0.011709,0.012038,0.0055191,0.0058132,0.0079322,0.014271,0.0064125,0.034646,0.024818,0.0065822,0.009079,0.014513,0.010185,0.015336,0.0098089,0.013602,0.013439,0.0085445,0.0087998,0.016142,0.0063235,0.0085331,0.015278,0.017551,0.0067506,0.011316,0.007297,0.01249,0.0072303,0.01768,0.0092224,0.0070876,0.010712,0.0059668,0.005189,0.005398
0.05,0.04798,0.045604,0.024918,0.013735,0.021289,0.030142,0.0086667,0.010931,0.012337,0.026026,0.010126,0.054233,0.040818,0.01035,0.014286,0.022632,0.017244,0.02249,0.015418,0.026046,0.0217,0.013186,0.014482,0.026276,0.010254,0.013004,0.024484,0.03065,0.0094945,0.018672,0.0126,0.021597,0.011396,0.035822,0.014452,0.0098667,0.02136,0.0093389,0.010822,0.0094681
0.06,0.061554,0.061949,0.050674,0.020221,0.03283,0.04655,0.012357,0.018287,0.016876,0.049057,0.01543,0.078893,0.052245,0.015049,0.020928,0.033919,0.027608,0.03642,0.02229,0.036501,0.032106,0.018739,0.021127,0.038469,0.014947,0.018436,0.037199,0.046947,0.013629,0.027982,0.017985,0.027327,0.016095,0.033953,0.019647,0.015251,0.023516,0.013698,0.013654,0.012156
0.07,0.10277,0.13439,0.076588,0.024878,0.044074,0.043791,0.01719,0.029314,0.026471,0.063028,0.023007,0.11192,0.11068,0.020647,0.030522,0.050383,0.038984,0.054688,0.031551,0.051919,0.044076,0.024191,0.031766,0.054643,0.020234,0.028731,0.045238,0.055684,0.020461,0.040173,0.030594,0.040035,0.023712,0.049216,0.022989,0.022099,0.04448,0.018306,0.020642,0.018577
0.08,0.1396,0.11906,0.10249,0.041169,0.057391,0.065511,0.023176,0.036557,0.028807,0.082107,0.028461,0.16421,0.13211,0.027386,0.04976,0.062634,0.058729,0.070128,0.041114,0.073158,0.06122,0.036462,0.043373,0.073608,0.028454,0.035685,0.081536,0.077957,0.02806,0.052376,0.041718,0.05439,0.038096,0.052105,0.037383,0.027499,0.059356,0.025788,0.029196,0.026492
0.09,0.15124,0.12696,0.16268,0.065283,0.083535,0.086438,0.027787,0.04806,0.039206,0.085937,0.037542,0.20123,0.13356,0.035178,0.055981,0.088906,0.077428,0.097691,0.057101,0.09859,0.078706,0.047923,0.06016,0.094961,0.041365,0.054359,0.096828,0.11412,0.037681,0.069352,0.052467,0.072,0.045844,0.090735,0.064353,0.039394,0.089827,0.033827,0.034075,0.043079
0.1,0.18723,0.15907,0.16592,0.087097,0.11761,0.12435,0.038048,0.067758,0.050144,0.11482,0.052471,0.25231,0.18938,0.044755,0.073975,0.10289,0.080298,0.11778,0.076475,0.11578,0.10027,0.065444,0.080937,0.12046,0.056563,0.07043,0.12801,0.1694,0.042678,0.088034,0.07196,0.088654,0.062104,0.12016,0.072023,0.05248,0.11504,0.044605,0.039305,0.051521
0.11,0.21289,0.20465,0.24697,0.1088,0.1436,0.14116,0.049887,0.12225,0.060811,0.12441,0.057784,0.34501,0.25551,0.052468,0.10085,0.12509,0.10149,0.14716,0.11074,0.14333,0.12134,0.078908,0.093679,0.13274,0.058528,0.087917,0.16762,0.23985,0.067917,0.10278,0.11059,0.11546,0.085163,0.13209,0.076327,0.065176,0.13665,0.052652,0.047392,0.061817
0.12,0.26317,0.21412,0.31219,0.08497,0.16406,0.13576,0.059919,0.18782,0.075574,0.12158,0.076513,0.41738,0.23679,0.067072,0.11547,0.16407,0.11815,0.15008,0.13226,0.16035,0.14417,0.080373,0.11164,0.16224,0.071556,0.10916,0.23235,0.31675,0.069437,0.12484,0.15551,0.1325,0.11012,0.16389,0.10841,0.075624,0.16143,0.068241,0.057505,0.090552
0.13,0.36575,0.1935,0.41575,0.12094,0.18312,0.11215,0.069495,0.22741,0.11104,0.16905,0.083819,0.50345,0.2354,0.080826,0.1456,0.20349,0.16328,0.20462,0.15735,0.17398,0.17911,0.09214,0.12507,0.20012,0.099162,0.14822,0.31321,0.4527,0.076901,0.13866,0.16543,0.1657,0.1653,0.20747,0.15783,0.086077,0.20599,0.075957,0.07887,0.12823
0.14,0.45842,0.21668,0.49921,0.14821,0.21418,0.1028,0.078895,0.23991,0.14031,0.23187,0.10904,0.55807,0.26336,0.083577,0.14498,0.25097,0.1567,0.24385,0.20207,0.19901,0.21253,0.11548,0.14245,0.27419,0.12803,0.1555,0.34725,0.62817,0.099946,0.17962,0.20356,0.18387,0.20352,0.2472,0.18895,0.094606,0.19027,0.091978,0.103,0.12749
0.15,0.41913,0.2755,0.62581,0.15074,0.2435,0.11346,0.097216,0.32983,0.18928,0.34606,0.12204,0.5916,0.2998,0.1057,0.16701,0.29468,0.16472,0.30549,0.21564,0.23035,0.22938,0.12831,0.16928,0.32507,0.15745,0.16975,0.29185,0.61046,0.11134,0.20417,0.32708,0.24152,0.24,0.29945,0.24292,0.11294,0.27281,0.11504,0.12055,0.17469
0.16,0.46203,0.35621,0.60554,0.18161,0.30368,0.13239,0.11533,0.35105,0.21041,0.43636,0.1352,0.62422,0.27751,0.13263,0.21758,0.35103,0.18466,0.36449,0.27305,0.2697,0.26954,0.15854,0.19089,0.34871,0.15203,0.1764,0.34634,0.47641,0.12236,0.22783,0.42812,0.24635,0.25777,0.34134,0.26396,0.13395,0.38401,0.11911,0.15442,0.18587
0.17,0.51363,0.39268,0.71894,0.27689,0.34337,0.16978,0.12319,0.3854,0.2128,0.43057,0.15963,0.72309,0.26113,0.17573,0.29434,0.42021,0.23834,0.44486,0.33222,0.30515,0.26181,0.17549,0.20387,0.47225,0.164,0.27103,0.43698,0.67233,0.13881,0.24467,0.45046,0.29063,0.30451,0.33914,0.27475,0.16852,0.45385,0.13593,0.23432,0.18225
0.18,0.51944,0.43236,0.78863,0.33888,0.38641,0.18697,0.16441,0.39329,0.21232,0.4476,0.20812,0.8058,0.29705,0.22151,0.36061,0.46565,0.30737,0.51396,0.37833,0.33926,0.33101,0.21396,0.24193,0.60341,0.17394,0.25083,0.54529,0.87487,0.1485,0.30817,0.41231,0.33393,0.33016,0.35436,0.28245,0.16993,0.52211,0.17685,0.235,0.24832
0.19,0.68538,0.47617,0.87009,0.3831,0.42606,0.21111,0.18985,0.34348,0.24465,0.46007,0.2472,0.92158,0.38534,0.2332,0.38444,0.53484,0.3632,0.56649,0.50071,0.41049,0.34948,0.27354,0.29907,0.65062,0.20087,0.24771,0.55865,1.0362,0.20314,0.38413,0.52388,0.36564,0.33154,0.33258,0.2937,0.19183,0.5618,0.19843,0.25597,0.32532
0.2,0.9168,0.46962,1.0131,0.41232,0.45854,0.25346,0.21208,0.36763,0.29426,0.46756,0.27272,1.07,0.49987,0.22301,0.44594,0.62844,0.41752,0.60934,0.58482,0.41103,0.41308,0.32796,0.35805,0.63772,0.21547,0.22966,0.56291,1.1803,0.24382,0.46311,0.60676,0.42143,0.38814,0.44273,0.33635,0.21225,0.56528,0.24985,0.31576,0.39416
0.21,1.0956,0.47433,1.1005,0.45483,0.5183,0.28506,0.22947,0.40225,0.32535,0.40145,0.30137,1.2106,0.58425,0.24658,0.49615,0.69568,0.44554,0.64717,0.63144,0.56241,0.50998,0.33622,0.42364,0.68869,0.27566,0.24262,0.59438,1.4301,0.28673,0.48789,0.59878,0.53625,0.44312,0.59756,0.42512,0.27182,0.55312,0.29775,0.394,0.40653
0.22,1.2366,0.55448,1.2035,0.51304,0.57365,0.31869,0.24571,0.46687,0.31937,0.43949,0.33333,1.4402,0.69225,0.27411,0.47705,0.65445,0.44663,0.6954,0.63379,0.76679,0.57522,0.36565,0.49268,0.84021,0.34845,0.26519,0.74944,1.6001,0.31956,0.48007,0.57722,0.48083,0.52525,0.67195,0.47762,0.31374,0.57598,0.32331,0.45756,0.47896
0.23,1.1471,0.55997,1.5893,0.5513,0.61823,0.39255,0.32555,0.48906,0.34266,0.47092,0.36801,1.6097,0.63127,0.29442,0.59001,0.71369,0.46896,0.77521,0.65271,0.95831,0.59848,0.41749,0.53664,0.99227,0.43286,0.295,0.94707,1.6464,0.34423,0.49147,0.61177,0.58686,0.67902,0.69486,0.55167,0.35972,0.57872,0.34603,0.48131,0.55788
0.24,1.0276,0.57472,1.9252,0.58312,0.6598,0.47035,0.33626,0.61107,0.37877,0.56101,0.41846,1.7803,0.72762,0.29931,0.65499,0.8929,0.51676,0.86766,0.68176,1.1404,0.5516,0.47171,0.59917,1.0643,0.49567,0.33159,0.98825,1.8541,0.35686,0.59473,0.7547,0.72973,0.83577,0.65395,0.67661,0.38084,0.58197,0.36376,0.48235,0.60211
0.25,1.0818,0.62547,1.8542,0.617,0.69656,0.54747,0.31541,0.71382,0.41391,0.76835,0.47057,1.9775,0.88892,0.37091,0.68599,1.081,0.60129,0.96186,0.71074,1.2372,0.5404,0.50137,0.67914,1.0807,0.53618,0.31918,1.0547,1.941,0.45478,0.71745,0.89701,0.80334,1.0573,0.53825,0.8842,0.37535,0.5846,0.39122,0.49019,0.56101
0.26,1.3315,0.77706,1.5499,0.66405,0.73132,0.56007,0.40241,0.72059,0.52707,0.92822,0.50674,2.0869,0.94289,0.40456,0.86556,1.1578,0.67884,1.0536,0.79341,1.2018,0.63986,0.59191,0.75651,1.1043,0.57517,0.36305,1.1277,1.8411,0.55672,0.78288,0.98257,0.81719,1.2439,0.60453,1.0704,0.39064,0.67201,0.45407,0.59665,0.47328
0.27,1.6084,0.97265,1.5295,0.71375,0.76699,0.53296,0.51012,0.83266,0.67809,0.98614,0.5557,2.2517,0.93225,0.46655,1.0314,1.2386,0.72457,1.1546,0.87506,1.1806,0.79708,0.6124,0.84862,1.1717,0.72615,0.3972,1.1627,1.6414,0.55721,0.85949,1.0547,0.83626,1.4817,0.80527,1.2148,0.44234,0.7278,0.51906,0.77962,0.55006
0.28,1.5944,1.1348,1.4791,0.75772,0.79967,0.5699,0.54496,0.92232,0.78969,1.076,0.62331,2.2766,0.95942,0.57682,1.1302,1.3851,0.73103,1.2412,0.94131,1.3072,0.9242,0.66124,0.93856,1.2426,0.82571,0.43939,1.2036,1.449,0.60888,0.9174,1.1871,0.86073,1.6059,0.86777,1.2299,0.5457,0.75336,0.57762,0.94134,0.58546
0.29,1.4932,1.1754,1.4391,0.81053,0.82647,0.6184,0.52297,0.9093,0.75758,1.2035,0.70778,2.3153,0.93398,0.71151,1.1293,1.5239,0.80209,1.327,0.98427,1.4385,0.89849,0.73082,1.037,1.3527,0.95582,0.49687,1.2455,1.4119,0.63857,0.89667,1.254,0.87555,1.6613,0.90425,1.1204,0.72112,0.7579,0.67685,1.1483,0.64831
0.3,1.6739,1.2988,1.215,0.87157,0.85401,0.76266,0.54665,0.76402,0.72958,1.3219,0.75943,2.3366,0.94937,0.80472,1.2254,1.6207,0.89167,1.463,1.0953,1.5234,0.82147,0.78805,1.204,1.543,1.1022,0.51458,1.2479,1.5018,0.64417,0.93376,1.2357,0.94764,1.8658,1.0019,0.95295,0.90855,0.75734,0.78211,1.2219,0.61824
0.31,1.7681,1.3998,1.303,0.94556,0.88694,0.85068,0.6232,0.61553,0.76347,1.4177,0.78557,2.3492,0.8785,0.8101,1.5366,1.6776,0.91167,1.6009,1.2366,1.5389,0.84511,0.79268,1.3486,1.6407,1.2114,0.53721,1.1203,1.543,0.71285,0.93157,1.3226,1.0118,2.0449,1.0896,0.92556,1.0291,0.79146,0.90944,1.227,0.62263
0.32,1.7735,1.4034,1.501,1.0289,0.93558,0.86765,0.70881,0.62283,0.81906,1.4379,0.81054,2.4111,0.71818,0.78834,1.7957,1.7285,0.98535,1.7228,1.3313,1.4917,0.82558,0.92523,1.426,1.645,1.2567,0.61221,1.0103,1.6305,0.77166,0.914,1.4185,1.1305,2.0161,1.1149,0.91558,1.1519,0.77755,1.0966,1.1887,0.62217
0.33,1.8904,1.4001,1.6709,1.1049,1.1885,0.83757,0.74539,0.66899,0.92337,1.2866,0.85174,2.4252,0.73321,0.87276,2.0253,1.8092,1.0087,1.8253,1.4035,1.5036,1.0255,1.155,1.4612,1.6969,1.3355,0.6933,1.1275,1.8398,0.90485,1.0911,1.5104,1.2884,1.9877,1.0986,1.0155,1.2081,0.80442,1.2416,1.1741,0.72125
0.34,2.2233,1.497,1.7791,1.1498,1.4433,0.81835,0.71602,0.72925,1.0171,1.2401,0.90675,2.3836,0.71227,1.0373,2.4344,1.9514,1.0603,1.9121,1.5211,1.5243,1.2018,1.3633,1.5413,1.6928,1.5406,0.74454,1.1138,1.8306,0.98638,1.2412,1.7035,1.3552,1.9668,1.0359,1.131,1.2425,0.79836,1.2981,1.2244,0.77617
0.35,2.6258,1.6237,1.9399,1.2335,1.5289,0.83896,0.65731,0.73515,1.0608,1.3281,0.96339,2.3702,0.70097,1.174,2.8047,2.2278,1.1255,1.9871,1.7105,1.6151,1.3268,1.4899,1.6968,1.7171,1.7276,0.76216,1.2803,1.7102,1.0653,1.312,1.8622,1.2897,2.0025,1.0751,1.2786,1.2769,0.802,1.249,1.2555,0.85638
