1	1001	1	4.0
2	1002	1	4.0
3	1004	1	4.0
4	1005	1	4.0
5	1007	1	4.0
6	1008	1	4.0
7	1021	1	4.0
8	1022	2	4.0
9	1024	2	4.0
10	1025	2	4.0
11	1027	2	4.0
12	1028	1	4.0
13	1031	1	4.0
14	1032	2	4.0
15	1034	2	4.0
16	1035	2	4.0
17	1037	2	4.0
18	1038	1	4.0
19	1041	1	4.0
20	1042	2	4.0
21	1044	2	4.0
22	1045	2	4.0
23	1047	2	4.0
24	1048	1	4.0
25	1061	1	4.0
26	1062	1	4.0
27	1064	1	4.0
28	1065	1	4.0
29	1067	1	4.0
30	1068	1	4.0
31	1101	1	4.0
32	1102	1	4.0
33	1104	1	4.0
34	1105	1	4.0
35	1107	1	4.0
36	1108	1	4.0
37	1121	1	4.0
38	1122	2	4.0
39	1124	2	4.0
40	1125	2	4.0
41	1127	2	4.0
42	1128	1	4.0
43	1131	1	4.0
44	1132	2	4.0
45	1134	2	4.0
46	1135	2	4.0
47	1137	2	4.0
48	1138	1	4.0
49	1141	1	4.0
50	1142	2	4.0
51	1144	2	4.0
52	1145	2	4.0
53	1147	2	4.0
54	1148	1	4.0
55	1161	1	4.0
56	1162	1	4.0
57	1164	1	4.0
58	1165	1	4.0
59	1167	1	4.0
60	1168	1	4.0
61	1201	3	4.0
62	1202	3	4.0
63	1204	3	4.0
64	1205	3	4.0
65	1207	3	4.0
66	1208	3	4.0
67	1221	3	4.0
68	1222	4	4.0
69	1224	4	4.0
70	1225	4	4.0
71	1227	4	4.0
72	1228	3	4.0
73	1231	3	4.0
74	1232	4	4.0
75	1234	4	4.0
76	1235	4	4.0
77	1237	4	4.0
78	1238	3	4.0
79	1241	3	4.0
80	1242	4	4.0
81	1244	4	4.0
82	1245	4	4.0
83	1247	4	4.0
84	1248	3	4.0
85	1261	3	4.0
86	1262	3	4.0
87	1264	3	4.0
88	1265	3	4.0
89	1267	3	4.0
90	1268	3	4.0
91	1301	3	4.0
92	1302	3	4.0
93	1304	3	4.0
94	1305	3	4.0
95	1307	3	4.0
96	1308	3	4.0
97	1321	3	4.0
98	1322	4	4.0
99	1324	4	4.0
100	1325	4	4.0
101	1327	4	4.0
102	1328	3	4.0
103	1331	3	4.0
104	1332	4	4.0
105	1334	4	4.0
106	1335	4	4.0
107	1337	4	4.0
108	1338	3	4.0
109	1341	3	4.0
110	1342	4	4.0
111	1344	4	4.0
112	1345	4	4.0
113	1347	4	4.0
114	1348	3	4.0
115	1361	3	4.0
116	1362	3	4.0
117	1364	3	4.0
118	1365	3	4.0
119	1367	3	4.0
120	1368	3	4.0
121	1401	5	4.0
122	1402	5	4.0
123	1404	5	4.0
124	1405	5	4.0
125	1407	5	4.0
126	1408	5	4.0
127	1421	5	4.0
128	1422	6	4.0
129	1424	6	4.0
130	1425	6	4.0
131	1427	6	4.0
132	1428	5	4.0
133	1431	5	4.0
134	1432	6	4.0
135	1434	6	4.0
136	1435	6	4.0
137	1437	6	4.0
138	1438	5	4.0
139	1441	5	4.0
140	1442	6	4.0
141	1444	6	4.0
142	1445	6	4.0
143	1447	6	4.0
144	1448	5	4.0
145	1461	5	4.0
146	1462	5	4.0
147	1464	5	4.0
148	1465	5	4.0
149	1467	5	4.0
150	1468	5	4.0
151	1501	5	4.0
152	1502	5	4.0
153	1504	5	4.0
154	1505	5	4.0
155	1507	5	4.0
156	1508	5	4.0
157	1521	5	4.0
158	1522	6	4.0
159	1524	6	4.0
160	1525	6	4.0
161	1527	6	4.0
162	1528	5	4.0
163	1531	5	4.0
164	1532	6	4.0
165	1534	6	4.0
166	1535	6	4.0
167	1537	6	4.0
168	1538	5	4.0
169	1541	5	4.0
170	1542	6	4.0
171	1544	6	4.0
172	1545	6	4.0
173	1547	6	4.0
174	1548	5	4.0
175	1561	5	4.0
176	1562	5	4.0
177	1564	5	4.0
178	1565	5	4.0
