1 0 0 1
2 0 0 1
3 0 0 1
57 0 1 0
58 0 0 1
59 0 0 1
60 0 0 1
114 0 1 0
115 0 0 1
116 0 0 1
117 0 0 1
171 0 1 0
172 0 0 1
173 0 0 1
174 0 0 1
228 0 1 0
229 0 0 1
230 0 0 1
231 0 0 1
285 0 1 0
286 0 0 1
287 0 0 1
288 0 0 1
342 0 1 0
343 0 0 1
344 0 0 1
345 0 0 1
399 0 1 0
400 0 0 1
401 0 0 1
402 0 0 1
456 0 1 0
457 0 0 1
458 0 0 1
459 0 0 1
513 0 1 0
514 0 0 1
515 0 0 1
516 0 0 1
570 0 1 0
571 0 0 1
572 0 0 1
573 0 0 1
627 0 1 0
628 0 0 1
629 0 0 1
630 0 0 1
684 0 1 0
685 0 0 1
686 0 0 1
687 0 0 1
741 0 1 0
742 0 0 1
743 0 0 1
744 0 0 1
798 0 1 0
799 0 0 1
800 0 0 1
801 0 0 1
855 0 1 0
856 0 0 1
857 0 0 1
858 0 0 1
912 0 1 0
913 0 0 1
914 0 0 1
915 0 0 1
969 0 1 0
970 0 0 1
971 0 0 1
972 0 0 1
1026 0 1 0
1027 0 0 1
1028 0 0 1
1029 0 0 1
1083 0 1 0
1084 0 0 1
1085 0 0 1
1086 0 0 1
1140 0 1 0
1141 0 0 1
1142 0 0 1
1143 0 0 1
1197 0 1 0
1198 0 0 1
1199 0 0 1
1200 0 0 1
1254 0 1 0
1255 0 0 1
1256 0 0 1
1257 0 0 1
1311 0 1 0
1312 0 0 1
1313 0 0 1
1314 0 0 1
1368 0 1 0
1369 0 0 1
1370 0 0 1
1371 0 0 1
1425 0 1 0
1426 0 0 1
1427 0 0 1
1428 0 0 1
1482 0 1 0
1483 0 0 1
1484 0 0 1
1485 0 0 1
1539 0 1 0
1540 0 0 1
1541 0 0 1
1542 0 0 1
1596 0 1 0
1597 0 0 1
1598 0 0 1
1599 0 0 1
1653 0 1 0
1654 0 0 1
1655 0 0 1
1656 0 0 1
1710 0 1 0
1711 0 0 1
1712 0 0 1
1713 0 0 1
1767 0 1 0
1768 0 0 1
1769 0 0 1
1770 0 0 1
1824 0 1 0
1825 0 0 1
1826 0 0 1
1827 0 0 1
1881 0 1 0
1882 0 0 1
1883 0 0 1
1884 0 0 1
1938 0 1 0
1939 0 0 1
1940 0 0 1
1941 0 0 1
1995 0 1 0
1996 0 0 1
1997 0 0 1
1998 0 0 1
2052 0 1 0
2053 0 0 1
2054 0 0 1
2055 0 0 1
2109 0 1 0
2110 0 0 1
2111 0 0 1
2112 0 0 1
2166 0 1 0
2167 0 0 1
2168 0 0 1
2169 0 0 1
2223 0 1 0
2224 0 0 1
2225 0 0 1
2226 0 0 1
2280 0 1 0
2281 0 0 1
2282 0 0 1
2283 0 0 1
2337 0 1 0
2338 0 0 1
2339 0 0 1
2340 0 0 1
