Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39
0.01,0.00031091,0.00047417,0.00052912,0.00033373,0.00026863,0.00016617,0.00056581,0.00011105,0.00043629,0.00040288,0.00086098,0.00061199,0.00059053,0.00047399,0.00034055,0.00060533,0.00022217,0.0001789,0.00077591,0.00098835,0.00036629,0.00029777,0.00039665,0.00025875,0.00032562,0.00014423,0.00014961,0.00052542,0.00045559,0.00034558,0.00015005,0.00028087,0.00022618,0.00015399,0.00025741,0.00018638,0.00020748,0.00038057,0.00024997
0.02,0.0012519,0.0020152,0.0022794,0.0013727,0.0010755,0.00066982,0.0024285,0.00045596,0.0017473,0.0016107,0.0035961,0.0025091,0.0023309,0.0018983,0.0013629,0.0024257,0.00090099,0.00071661,0.0031575,0.0039619,0.0014728,0.0011941,0.0015943,0.0010407,0.0013028,0.00058219,0.00060352,0.0021417,0.0018411,0.001389,0.00064737,0.0012526,0.0009291,0.00061999,0.0010336,0.00084018,0.00091142,0.0015103,0.0010055
0.03,0.0029114,0.0043641,0.0056317,0.0030379,0.0024357,0.0015165,0.0058273,0.0010175,0.0044464,0.0036474,0.0077488,0.0056167,0.0058002,0.0043945,0.0030817,0.0054892,0.0020414,0.0016178,0.0073508,0.0089673,0.0034802,0.0026953,0.0036786,0.0023354,0.0029366,0.0013116,0.0013575,0.0051359,0.0044037,0.0032233,0.0014793,0.003953,0.0022011,0.0014184,0.0023594,0.001824,0.0021163,0.0037776,0.0022682
0.04,0.0049669,0.0081748,0.011709,0.0055191,0.004327,0.0028141,0.014271,0.001952,0.0081978,0.0065822,0.014513,0.010185,0.010005,0.0082927,0.0054641,0.0098089,0.0036542,0.0029613,0.013439,0.016142,0.006288,0.0047613,0.0063235,0.0042968,0.0053309,0.0023988,0.0025511,0.0098962,0.0097587,0.0067506,0.0027042,0.009591,0.0044261,0.0028119,0.0043302,0.0033426,0.0044615,0.0070876,0.004504
0.05,0.0079818,0.013735,0.021289,0.0086667,0.0067938,0.0048576,0.026026,0.0032499,0.011323,0.01035,0.022632,0.017244,0.015168,0.012939,0.0085855,0.015418,0.0056602,0.0052837,0.0217,0.026276,0.01204,0.0074757,0.010254,0.0068936,0.0087434,0.0037288,0.0039347,0.018893,0.018117,0.0094945,0.0040569,0.017343,0.0077335,0.0052854,0.0070004,0.0078408,0.0061307,0.0098667,0.0075974
0.06,0.011407,0.020221,0.03283,0.012357,0.0097374,0.0074371,0.049057,0.0063919,0.016225,0.015049,0.033919,0.027608,0.023539,0.020167,0.012724,0.02229,0.0084926,0.007537,0.032106,0.038469,0.017632,0.011172,0.014947,0.010506,0.012965,0.0054377,0.0067969,0.024205,0.029522,0.013629,0.007535,0.023003,0.017019,0.0078987,0.0096671,0.010341,0.0098611,0.015251,0.012721
0.07,0.018035,0.024878,0.044074,0.01719,0.013181,0.009004,0.063028,0.0078167,0.023499,0.020647,0.050383,0.038984,0.036025,0.029214,0.017516,0.031551,0.01252,0.011839,0.044076,0.054643,0.025698,0.015145,0.020234,0.014327,0.016981,0.0095235,0.0094528,0.034086,0.047766,0.020461,0.010835,0.036165,0.027143,0.010952,0.015271,0.012526,0.015649,0.022099,0.015779
0.08,0.023319,0.041169,0.057391,0.023176,0.017237,0.012753,0.082107,0.012819,0.040317,0.027386,0.062634,0.058729,0.056299,0.036653,0.022584,0.041114,0.016803,0.016367,0.06122,0.073608,0.04326,0.020702,0.028454,0.01849,0.021903,0.012424,0.013789,0.048061,0.056136,0.02806,0.021079,0.058346,0.036919,0.015872,0.019552,0.020417,0.022353,0.027499,0.024722
0.09,0.02869,0.065283,0.083535,0.027787,0.022668,0.018097,0.085937,0.021308,0.049279,0.035178,0.088906,0.077428,0.078463,0.053881,0.030017,0.057101,0.021638,0.023416,0.078706,0.094961,0.071829,0.026565,0.041365,0.027896,0.02864,0.015716,0.019896,0.060055,0.088213,0.037681,0.02194,0.10354,0.059367,0.026493,0.02838,0.03005,0.028075,0.039394,0.045168
0.1,0.034618,0.087097,0.11761,0.038048,0.028049,0.024725,0.11482,0.025126,0.049442,0.044755,0.10289,0.080298,0.10335,0.062276,0.036525,0.076475,0.031327,0.027126,0.10027,0.12046,0.11786,0.030011,0.056563,0.037658,0.032998,0.020754,0.023545,0.09058,0.1121,0.042678,0.018499,0.09894,0.060492,0.039807,0.037478,0.053409,0.03484,0.05248,0.055803
0.11,0.044512,0.1088,0.1436,0.049887,0.034792,0.030732,0.12441,0.032327,0.064619,0.052468,0.12509,0.10149,0.10655,0.072385,0.043231,0.11074,0.042256,0.03512,0.12134,0.13274,0.11949,0.037346,0.058528,0.050241,0.040763,0.028709,0.035093,0.13705,0.11559,0.067917,0.02437,0.098338,0.064302,0.05322,0.063728,0.070063,0.046445,0.065176,0.065624
0.12,0.051936,0.08497,0.16406,0.059919,0.043326,0.039785,0.12158,0.039602,0.10528,0.067072,0.16407,0.11815,0.1212,0.098896,0.050381,0.13226,0.053362,0.034358,0.14417,0.16224,0.10877,0.046259,0.071556,0.059752,0.057592,0.033658,0.055449,0.1973,0.13649,0.069437,0.027977,0.091788,0.074158,0.080452,0.077218,0.09357,0.058656,0.075624,0.073061
0.13,0.0621,0.12094,0.18312,0.069495,0.052482,0.052231,0.16905,0.044874,0.14108,0.080826,0.20349,0.16328,0.14048,0.12847,0.065316,0.15735,0.055068,0.047141,0.17911,0.20012,0.1332,0.055072,0.099162,0.073421,0.075492,0.048359,0.072465,0.27043,0.1608,0.076901,0.028605,0.099317,0.11352,0.07926,0.089503,0.14661,0.059353,0.086077,0.09868
0.14,0.078201,0.14821,0.21418,0.078895,0.065564,0.065817,0.23187,0.056968,0.18739,0.083577,0.25097,0.1567,0.15224,0.13204,0.072204,0.20207,0.06273,0.062705,0.21253,0.27419,0.1678,0.066894,0.12803,0.1143,0.094702,0.05366,0.078256,0.32533,0.22172,0.099946,0.032921,0.095508,0.11866,0.09331,0.11391,0.15991,0.059861,0.094606,0.11389
