1 0 0 1
2 0 0 1
3 0 0 1
59 0 1 0
60 0 0 1
61 0 0 1
62 0 0 1
118 0 1 0
119 0 0 1
120 0 0 1
121 0 0 1
177 0 1 0
178 0 0 1
179 0 0 1
180 0 0 1
236 0 1 0
237 0 0 1
238 0 0 1
239 0 0 1
295 0 1 0
296 0 0 1
297 0 0 1
298 0 0 1
354 0 1 0
355 0 0 1
356 0 0 1
357 0 0 1
413 0 1 0
414 0 0 1
415 0 0 1
416 0 0 1
472 0 1 0
473 0 0 1
474 0 0 1
475 0 0 1
531 0 1 0
532 0 0 1
533 0 0 1
534 0 0 1
590 0 1 0
591 0 0 1
592 0 0 1
593 0 0 1
649 0 1 0
650 0 0 1
651 0 0 1
652 0 0 1
708 0 1 0
709 0 0 1
710 0 0 1
711 0 0 1
767 0 1 0
768 0 0 1
769 0 0 1
770 0 0 1
826 0 1 0
827 0 0 1
828 0 0 1
829 0 0 1
885 0 1 0
886 0 0 1
887 0 0 1
888 0 0 1
944 0 1 0
945 0 0 1
946 0 0 1
947 0 0 1
1003 0 1 0
1004 0 0 1
1005 0 0 1
1006 0 0 1
1062 0 1 0
1063 0 0 1
1064 0 0 1
1065 0 0 1
1121 0 1 0
1122 0 0 1
1123 0 0 1
1124 0 0 1
1180 0 1 0
1181 0 0 1
1182 0 0 1
1183 0 0 1
1239 0 1 0
1240 0 0 1
1241 0 0 1
1242 0 0 1
1298 0 1 0
1299 0 0 1
1300 0 0 1
1301 0 0 1
1357 0 1 0
1358 0 0 1
1359 0 0 1
1360 0 0 1
1416 0 1 0
1417 0 0 1
1418 0 0 1
1419 0 0 1
1475 0 1 0
1476 0 0 1
1477 0 0 1
1478 0 0 1
1534 0 1 0
1535 0 0 1
1536 0 0 1
1537 0 0 1
1593 0 1 0
1594 0 0 1
1595 0 0 1
1596 0 0 1
1652 0 1 0
1653 0 0 1
1654 0 0 1
1655 0 0 1
1711 0 1 0
1712 0 0 1
1713 0 0 1
1714 0 0 1
1770 0 1 0
1771 0 0 1
1772 0 0 1
1773 0 0 1
1829 0 1 0
1830 0 0 1
1831 0 0 1
1832 0 0 1
1888 0 1 0
1889 0 0 1
1890 0 0 1
1891 0 0 1
1947 0 1 0
1948 0 0 1
1949 0 0 1
1950 0 0 1
2006 0 1 0
2007 0 0 1
2008 0 0 1
2009 0 0 1
2065 0 1 0
2066 0 0 1
2067 0 0 1
2068 0 0 1
2124 0 1 0
2125 0 0 1
2126 0 0 1
2127 0 0 1
2183 0 1 0
2184 0 0 1
2185 0 0 1
2186 0 0 1
2242 0 1 0
2243 0 0 1
2244 0 0 1
2245 0 0 1
2301 0 1 0
2302 0 0 1
2303 0 0 1
2304 0 0 1
2360 0 1 0
2361 0 0 1
2362 0 0 1
2363 0 0 1
2419 0 1 0
2420 0 0 1
2421 0 0 1
2422 0 0 1
