FS    , C     , phi   , num_iter  , analysis  
 0.800,  12.50,  24.46,          2,          0
 1.000,  10.00,  20.00,          4,          0
 1.100,   9.09,  18.31,          4,          0
 1.200,   8.33,  16.87,          5,          0
 1.300,   7.69,  15.64,          7,          0
 1.400,   7.14,  14.57,          6,          0
 1.500,   6.67,  13.64,          8,          0
 1.600,   6.25,  12.82,          8,          0
 1.700,   5.88,  12.08,         26,          0
 1.800,   5.56,  11.43,         27,          0
 1.900,   5.26,  10.84,         23,          0
 2.000,   5.00,  10.31,         16,          0
