Period [s],umax [m],vmax [m/s],amax [g]
0.001,1.5517584730376268e-07,0.0009749986038081446,0.624638124362895
0.0010974987654930556,1.8690140914635627e-07,0.001070011397518038,0.624638124362895
0.0012045035402587824,2.2519972641741923e-07,0.0011747342908621013,0.624638124362895
0.0013219411484660286,2.709927405002012e-07,0.0012880282964479871,0.624638124362895
0.0014508287784959402,3.266789904312626e-07,0.0014147669685528736,0.624638124362895
0.0015922827933410922,3.93567759784272e-07,0.0015530276254931538,0.624638124362895
0.001747528400007683,4.7345188610391803e-07,0.001702281882464126,0.624638124362895
0.0019179102616724887,5.705080568928258e-07,0.0018690174990620614,0.624638124362895
0.00210490414451202,6.879014116688002e-07,0.002053400889467829,0.624638124362895
0.0023101297000831605,8.290832990826461e-07,0.0022549746895321656,0.624638124362895
0.0025353644939701114,9.973836992789885e-07,0.002471733993212591,0.624638124362895
0.0027825594022071257,1.1999421864555698e-06,0.0027095411186630145,0.624638124362895
0.0030538555088334154,1.4454993663188077e-06,0.0029740570088272527,0.624638124362895
0.003351602650938841,1.7427106268695188e-06,0.003267026239624518,0.624638124362895
0.0036783797718286343,2.1017544989111464e-06,0.0035900896062975437,0.624638124362895
0.004037017258596553,2.5419434883847863e-06,0.003956262991913122,0.624638124362895
0.004430621457583882,3.089297372270909e-06,0.004381016984815068,0.624638124362895
0.004862601580065354,3.696189533845994e-06,0.004776012056348648,0.624638124362895
0.005336699231206312,4.468840860809706e-06,0.005261408601139475,0.624638124362895
0.005857020818056668,5.4328839403985306e-06,0.005828187676008652,0.624638124362895
0.006428073117284319,6.4414872909896135e-06,0.006296297127408642,0.624638124362895
0.007054802310718645,7.737640981233616e-06,0.006891338691610378,0.624638124362895
0.007742636826811269,9.32209069829147e-06,0.007564919370217051,0.6257866234259468
0.008497534359086447,1.1334068083325932e-05,0.008380554528217603,0.6316706348559509
0.0093260334688322,1.360338667180431e-05,0.009164946657098614,0.6294247743192547
0.010235310218990263,1.6409326239966653e-05,0.010073249889425066,0.6303466637920633
0.011233240329780276,1.9868300809683372e-05,0.011113108244918023,0.6336382049818471
0.012328467394420665,2.394184498199016e-05,0.01220192614417673,0.6339137354513626
0.013530477745798075,3.070930826864999e-05,0.014260566266194999,0.6750477603569148
