Period [s],umax [m],vmax [m/s],amax [g]
0.001,1.552172097555293e-07,0.0009752584917573536,0.624641164741277
0.0010974987654930556,1.8696189342815772e-07,0.0010703576703000029,0.6246485643881202
0.0012045035402587824,2.2519971111155642e-07,0.0011747342110204329,0.6246581300573283
0.0013219411484660286,2.712591626202401e-07,0.0012892946005887418,0.6246703658624279
0.0014508287784959402,3.267407385364787e-07,0.0014150343845244827,0.624685884193188
0.0015922827933410922,3.9357268923742615e-07,0.001553047077231099,0.6247054281054998
0.001747528400007683,4.740782667561373e-07,0.001704534015082233,0.6247298982152668
0.0019179102616724885,5.710568168143876e-07,0.0018708152684078073,0.6247603849621803
0.00210490414451202,6.878815985971711e-07,0.0020533417470119247,0.6247982072513238
0.0023101297000831605,8.286178186050303e-07,0.0022537086566779803,0.6248449586267106
0.0025353644939701114,9.98165107078333e-07,0.002473670491895693,0.6249025622622816
0.0027825594022071257,1.202429572000514e-06,0.002715157783772441,0.6249733361333013
0.0030538555088334154,1.448531675122086e-06,0.002980295862651371,0.625060069675858
0.003351602650938841,1.7450575346317423e-06,0.0032714259426635333,0.6251661128995061
0.003678379771828634,2.1023629285679506e-06,0.0035911288889483896,0.6252954779855567
0.004037017258596553,2.5329413212226276e-06,0.003942252082168904,0.6254529512918834
0.004430621457583882,3.0518697380725717e-06,0.004327939834458439,0.6256442092533379
0.004862601580065354,3.6773493422754373e-06,0.0047516678009307525,0.6258759227538833
0.005336699231206312,4.431361140877547e-06,0.005217281695089026,0.6261558173586351
0.005857020818056668,5.34046127095465e-06,0.005729040212351047,0.6264926264371068
0.006428073117284319,6.436744519061433e-06,0.00629166125685292,0.6268958358565963
0.007054802310718645,7.759009738050017e-06,0.006910370246705481,0.6273751742343101
0.007742636826811269,9.354180585600463e-06,0.007590960460992576,0.6279407992299747
0.008497534359086447,1.1279231223349608e-05,0.008340007454403577,0.6286144652705828
0.0093260334688322,1.3606316057934639e-05,0.009166920258839873,0.6295603161698586
0.010235310218990263,1.64280559738185e-05,0.010084747575965818,0.631066146424962
0.011233240329780276,1.9938401719129635e-05,0.011152318391885591,0.6358738573838622
0.012328467394420665,2.6446636650701708e-05,0.01347848954065508,0.7002336804862921
0.013530477745798075,3.372135469389505e-05,0.015659278580660012,0.7412581476331539
0.01484968262254465,4.0845258274087155e-05,0.017282411562525513,0.7454148363082818
0.016297508346206444,5.2856672930239774e-05,0.020377855540045425,0.8008443722701216
0.01788649529057435,7.69223456267603e-05,0.027021355720287143,0.9675930565122954
0.019630406500402715,8.842428920069346e-05,0.028302327549467602,0.92342944989186
0.021544346900318846,0.0001361428103254051,0.039704638505521965,1.1803716603740049
0.02364489412645408,0.0001684586286391881,0.044764707960741494,1.212576766751719
0.025950242113997372,0.00019651656170662909,0.04758144327549557,1.174375704781056
0.02848035868435802,0.00024734898763486174,0.05456881853481266,1.2271847717622906
0.03125715849688237,0.0002738228905700066,0.05504275006221413,1.127876349864036
0.03430469286314919,0.0003765740186217456,0.06897261404754977,1.2877572736685967
0.037649358067924694,0.0005103809333823757,0.0851759006330785,1.4490054522875775
0.04132012400115338,0.0004806752817666861,0.0730920330209209,1.132972285977889
0.04534878508128584,0.0006282014085890474,0.08703884466411164,1.2293012467154327
0.049770235643321115,0.0005766241432949695,0.07279524193697805,0.9367941235505586
0.05462277217684343,0.0009457535174396914,0.10878877743062731,1.2756197062949008
0.05994842503189412,0.001013395052171762,0.10621378124256825,1.134785958503283
0.06579332246575682,0.0012274244590241205,0.11721759956152251,1.1410951677387082
0.07220809018385467,0.0013397946158574202,0.11658219769501561,1.034087385528877
0.07924828983539177,0.001527989383653665,0.12114634227237944,0.9791095084528458
0.08697490026177834,0.002043087652919279,0.14759543596445815,1.0869006532182515
0.09545484566618342,0.001955260538943675,0.12870236397387225,0.863573695386208
0.10476157527896651,0.002415390003255583,0.14486554768913407,0.885674117903904
0.11497569953977368,0.0035500878480384675,0.1940049931879371,1.08073124633597
0.1261856883066021,0.00545026289135496,0.2713858614141736,1.3774884882871177
0.1384886371393873,0.0065616219927861485,0.2976986975100704,1.3768088663535596
0.15199110829529347,0.009077413220955684,0.3752526711384775,1.581308012444741
0.1668100537200059,0.009583692341838248,0.3609861250440072,1.3860508015295048
0.18307382802953695,0.008941180519222885,0.30686578563352973,1.0735766751187854
0.2009233002565048,0.011677684441256187,0.3651794252309725,1.1640908046506449
0.22051307399030456,0.013417481105919662,0.3823107565394549,1.1104347262483363
0.24201282647943834,0.01746748715611635,0.4534943880835299,1.2001744976125892
0.26560877829466867,0.018491957815933133,0.4374418586465368,1.0548453066528691
0.29150530628251786,0.03058450829964496,0.659226878667512,1.4484359748919509
0.31992671377973847,0.04201339564380571,0.8251200629517454,1.6518762272210994
0.3511191734215135,0.05492133268933618,0.9828028109137019,1.7927622777700878
0.38535285937105307,0.08724493991768632,1.4225303154912838,2.3643611004219025
0.4229242874389499,0.10354509007873995,1.5383202335175423,2.3296731108321582
0.4641588833612782,0.10460933179194863,1.416066437744879,1.9540146883221292
0.5094138014816381,0.10116597467902366,1.2477961214261595,1.568858536930048
0.5590810182512228,0.09270706703359965,1.0418806263164566,1.1935869887877333
0.6135907273413176,0.08066040951725027,0.8259647308326403,0.862171328288796
0.6734150657750828,0.06323030025990507,0.5899596159232369,0.5611129822376122
0.7390722033525783,0.052133023949376835,0.443206291092646,0.3840872658335004
0.8111308307896873,0.05830650696064578,0.4516541277212066,0.3566366203159476
0.8902150854450392,0.07721173485721597,0.544964521415827,0.39208853287864265
0.9770099572992257,0.09627081942409556,0.6191210167271196,0.40587043590690824
1.0722672220103242,0.11018829854493316,0.6456725378051105,0.38567380785146715
1.1768119524349991,0.11243651990522571,0.6003163788378844,0.32672621596689005
1.291549665014884,0.13434450027975148,0.6535647936143366,0.3241069913434537
1.417474162926806,0.14403870339784708,0.6384750343426779,0.28849588944355625
1.5556761439304723,0.1487082298196159,0.600614316999551,0.24727906472175176
1.7073526474706922,0.15217284931224537,0.5600074550309126,0.21007841746695613
1.873817422860385,0.15170795209982615,0.5086990674688343,0.17387795739817227
2.0565123083486534,0.13604415751365495,0.4156506373179966,0.12945177168412345
2.2570197196339215,0.1231495503713661,0.34282883696055705,0.09728656124409084
2.4770763559917115,0.1136392907423775,0.2882497829280498,0.07453160196436952
2.718588242732943,0.10027090882067992,0.23174554025375046,0.0545982612034352
2.9836472402833403,0.1021548976888397,0.21512534844903375,0.04618011105829905
3.2745491628777317,0.10487360344716896,0.20123084171719752,0.03935989123106387
3.5938136638046294,0.10429866654604476,0.18234886683211105,0.032498130196605114
3.9442060594376596,0.10145241840267409,0.16161537583977054,0.026244236426705477
4.328761281083062,0.10597438196284185,0.15382152917422304,0.022759585536469916
4.750810162102798,0.09945199133404202,0.13153025892392695,0.017732454708156747
5.21400828799969,0.10121989958207252,0.12197590619716119,0.014983497409947262
5.72236765935022,0.09962061955096793,0.10938388623667089,0.0122430169994496
6.280291441834259,0.09208918457678571,0.09213161791007833,0.00939592974475259
6.892612104349702,0.10437026953041072,0.09514212233211412,0.008840968792720755
7.56463327554629,0.09133157203827175,0.07586001470389077,0.006422970165527339
8.302175681319753,0.12018498102791061,0.09095742320140641,0.007017090701982235
9.111627561154895,0.07010410580416258,0.04834230598269176,0.003398147800120914
10.0,0.1186381237402963,0.07454253159563834,0.00477435819859006
