120111	0.01	2999	0.415783
120112	0.01	2999	0.516457
120121	0.01	1999	0.410041
120122	0.01	1999	0.482002
120411	0.01	5590	0.727581
120412	0.01	5590	0.822429
120521	0.01	4531	0.26558
120522	0.01	4531	0.336769
120611	0.01	9992	0.237759
120612	0.01	9992	0.351119
120621	0.005	7807	0.363978
120622	0.005	7807	0.379579
120711	0.01	4096	0.509338
120712	0.01	4096	0.502749
120721	0.01	4096	0.243233
120722	0.01	4096	0.211916
120811	0.005	5437	0.312128
120812	0.005	5437	0.357876
120821	0.005	6000	0.218836
120822	0.005	6000	0.1499
120911	0.02	2200	0.244803
120912	0.02	2200	0.151528
120921	0.0025	11186	0.282825
120922	0.0025	11186	0.41689
121011	0.005	7991	0.528519
121012	0.005	7991	0.443293
121021	0.005	7989	0.555024
121022	0.005	7989	0.367362
121111	0.02	2676	0.514562
121112	0.02	2300	0.496352
121211	0.005	8000	0.357855
121212	0.005	8000	0.258332
121221	0.01	2230	0.446326
121222	0.01	2230	0.300292
121321	0.02	1800	0.38542
121322	0.02	1800	0.548927
121411	0.005	18000	0.352887
121412	0.005	18000	0.440103
121421	0.005	18000	0.474352
121422	0.005	18000	0.512019
121511	0.01	2800	0.209876
121512	0.01	2800	0.174179
121711	0.005	7269	0.351329
121712	0.005	7269	0.314809
