Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40
0.01,0.79256,0.85854,0.5406,0.51434,0.34097,0.61201,0.35379,0.43891,0.57808,0.51545,0.41162,0.57257,0.59053,0.87966,0.62527,0.61846,0.31216,0.6695,0.34228,0.35765,0.79275,1.0098,0.40525,0.50958,0.94093,0.30958,0.48173,0.90801,0.35308,0.68199,0.28697,0.54106,0.8058,0.4526,0.47118,0.54595,0.61057,0.37205,0.3223,0.3319
0.02,1.1244,0.86234,0.58223,0.96435,0.35063,0.63803,0.36269,0.49433,0.62029,0.51668,0.4114,0.57178,0.59524,0.91854,0.64089,0.61958,0.31307,1.0627,0.35651,0.36014,0.8065,1.012,0.40723,0.70948,0.94372,0.32818,0.48765,0.92353,0.35478,0.68924,0.31995,0.54602,0.87827,0.48367,0.47678,0.5626,0.73078,0.37507,0.32024,0.33215
0.03,1.4658,0.85301,0.63932,1.1512,0.34487,0.70142,0.36706,0.49613,0.66152,0.5487,0.41407,0.57905,0.61818,0.87966,0.63762,0.62315,0.31294,1.101,0.37733,0.35755,0.83448,1.018,0.4176,0.84256,0.94412,0.3542,0.50203,0.91142,0.36592,0.68619,0.44875,0.6335,0.88321,0.53206,0.65651,0.61588,0.7625,0.37754,0.32905,0.3379
0.04,1.7397,1.0063,0.74767,0.76869,0.35243,0.65921,0.37121,0.50652,0.91127,0.54545,0.42032,0.57975,0.62968,0.92676,0.65038,0.62636,0.31707,0.76843,0.37952,0.36195,0.85818,1.0308,0.4038,1.0348,0.97837,0.43097,0.54489,0.97558,0.43107,0.72259,0.61245,0.79759,1.129,0.58891,0.65282,0.77912,0.68404,0.38102,0.33135,0.34469
0.05,1.8638,1.0184,0.87002,1.2318,0.35419,0.67598,0.44673,0.50421,1.0636,0.63342,0.42297,0.58384,0.62848,0.92491,0.70474,0.6301,0.33442,1.2082,0.41531,0.37157,0.88682,1.0738,0.41905,0.71841,1.0043,0.49306,0.53146,1.0006,0.38802,0.76309,0.70878,0.88262,1.464,0.59061,0.71159,0.81121,0.87295,0.38166,0.44228,0.38694
0.06,1.7582,1.4381,0.93174,1.3211,0.35068,1.0705,0.51899,0.47894,1.3923,0.65452,0.42709,0.59395,0.67626,0.96264,0.78354,0.6326,0.32232,0.99075,0.44068,0.3809,0.91118,1.0918,0.42419,1.0492,1.1351,0.65741,0.52322,1.0557,0.38679,0.79414,0.65284,0.77557,0.9636,0.55758,1.1272,0.81628,0.66738,0.38875,0.3875,0.345
0.07,2.8022,1.5969,0.91899,0.91309,0.35843,0.96771,0.61123,0.55194,1.3142,0.71649,0.43051,0.63641,0.80795,1.0505,0.81284,0.65786,0.35442,0.79777,0.51087,0.3855,0.91903,1.1394,0.4219,1.065,1.2345,0.65294,0.59907,0.94326,0.42663,0.83764,0.75408,0.83477,1.0262,0.47933,1.1298,0.79372,0.92745,0.38169,0.4304,0.38735
0.08,1.9006,1.6361,0.91619,1.0458,0.36998,1.1584,0.5836,0.45987,1.3108,0.63023,0.43718,0.79437,0.87125,0.9999,0.93755,0.65634,0.35623,0.88484,0.52111,0.39312,0.97731,1.1751,0.45425,1.1006,1.371,0.57017,0.56967,1.3016,0.44795,0.83614,0.93144,0.86828,0.83181,0.59678,1.4362,0.6655,0.94756,0.41168,0.46608,0.42292
0.09,1.6015,2.052,1.0537,1.0903,0.35049,1.0418,0.60621,0.49452,1.084,0.6738,0.44372,0.70613,0.90355,1.1214,0.97664,0.72024,0.36753,0.88579,0.52721,0.37234,0.99276,1.1978,0.52176,1.0052,1.1709,0.60139,0.68566,1.2213,0.4753,0.87477,1.306,0.90817,1.1445,0.81172,1.2524,0.78461,1.133,0.42667,0.42981,0.54338
0.1,1.6252,1.6952,1.2016,1.2705,0.38874,1.272,0.69228,0.51232,1.1731,0.78939,0.45726,0.7558,0.9412,1.0512,0.8204,0.78134,0.38934,0.79806,0.61105,0.3831,1.0245,1.2307,0.57791,1.1885,1.0632,0.47143,0.71958,1.3079,0.43604,0.89944,1.0109,0.90578,1.2277,0.73586,1.319,0.70957,1.1754,0.45573,0.40158,0.52638
