floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1125.0,50,50,1000.0,1000.0,562.5,562.5
1518.75,67.5,50,1350.0,400.0,759.375,562.5
