dts,Node_5,Node_80,Node_6,Node_99
1.085,0.0468634,0.0757036,0.286595,-0.161221
1.1,0.0654238,0.106487,0.0621909,-0.0237824
1.115,0.103442,0.146533,-0.225419,0.349929
1.13,0.0472267,-0.115014,-0.0846756,0.151766
1.145,-0.00613968,-0.191356,0.349738,-0.630261
1.16,0.0772307,-0.0905586,0.0204732,-0.552971
1.175,0.026045,0.269551,-0.672674,0.455052
1.19,-0.00363168,0.129672,-0.455873,0.514533
1.205,-0.140365,-0.129551,0.240717,0.0821518
1.22,-0.0323691,-0.0785101,0.735492,-0.302176
1.235,0.0657681,-0.136679,0.109791,-0.327781
1.25,0.0136364,0.201652,-0.391722,-0.297388
1.265,-0.0238864,0.00187353,-0.464588,0.552524
1.28,-0.0333351,-0.320822,-0.0892787,0.673636
1.295,-0.0822592,-0.218117,0.676811,-0.0916887
1.31,0.167517,0.0131075,0.841526,0.0608728
1.325,0.0251866,0.472315,-0.0098469,0.047959
1.34,-0.270123,0.995767,-0.110465,-0.512498
1.355,0.105893,0.0708227,-0.427131,0.552342
1.37,0.258845,-0.368473,-0.0484911,1.07458
1.385,-0.0186768,-0.40638,0.984261,0.847715
1.4,0.519134,-0.114068,1.10204,0.887996
1.415,-0.236583,0.904444,1.00009,-0.247195
1.43,-0.210027,1.19731,0.371786,-1.49494
1.445,0.362226,1.07776,-1.09361,0.110398
1.46,0.507064,0.449017,-1.31857,0.723454
1.475,0.993889,-1.41141,0.12179,-0.123491
1.49,0.669676,-1.43639,1.44351,-0.575456
1.505,-0.453765,-0.230432,-0.18618,-1.09825
1.52,-0.830163,0.599411,-1.44567,-0.843621
1.535,-0.932427,0.33011,-1.45817,-0.112641
1.55,-0.421804,-0.376878,-0.365055,-0.812829
1.565,0.228851,-1.18441,0.0788995,-0.554317
1.58,0.892478,-0.423141,-0.677568,1.06196
1.595,0.188528,-0.011629,0.0231363,0.418836
1.61,-0.382818,-1.12262,0.615212,1.00863
1.625,-0.899672,-0.756169,0.536949,0.989433
1.64,-0.923338,1.95933,0.919443,-0.38019
1.655,0.346574,1.0373,0.416355,-0.333778
1.67,1.37817,1.62696,0.241528,1.09381
1.685,0.382697,0.586027,0.60333,1.23332
1.7,0.195579,-0.258579,1.6495,0.0954587
1.715,0.665054,0.0784546,1.06784,0.0861311
1.73,0.2107,0.796114,-0.0865522,0.491667
1.745,-0.330417,0.560109,-0.59516,-0.211171
1.76,0.0372667,-0.199234,-0.0797771,0.383546
1.775,-0.202389,-1.07834,0.116382,-1.24238
1.79,0.027494,-0.655214,0.460365,-2.67915
1.805,0.246267,-0.358044,-2.19354,-1.5753
1.82,0.405432,0.102271,-2.9826,0.983052
1.835,-0.429019,-1.95419,-2.0943,-0.0685457
1.85,-0.118117,-1.54916,0.660386,-1.32504
1.865,-0.426517,-0.317435,0.683021,-0.0408912
1.88,-0.0184459,0.63231,-0.259746,0.531538
1.895,-0.1669,0.134756,-0.117806,1.45278
1.91,-0.909982,0.171455,1.31115,0.881513
1.925,-1.2113,0.54056,1.6917,-1.30306
1.94,-0.737152,1.67287,-0.235365,-0.205435
1.955,1.89473,2.34173,-1.26898,1.5412
1.97,1.8263,-0.330459,1.61132,1.01353
1.985,-0.0383283,-1.52887,3.30102,-0.962957
2.0,-0.864334,0.302457,0.977028,-0.179548
2.01,-0.499291,1.52048,-1.03573,-0.119459
2.02,0.342682,1.00281,-1.82037,0.0302471
2.03,-0.117601,-0.40355,-2.1645,0.0338452
2.04,-0.800984,-1.33009,-2.35782,1.11107
2.05,-0.84935,-1.69933,-1.37194,1.33773
2.06,-0.31299,-1.26222,0.317132,-0.312791
2.07,0.326627,-0.937766,0.986966,-2.65195
2.08,1.32441,-0.0909062,0.745775,-2.78731
2.09,0.997098,0.0860639,-0.78142,-2.15268
2.1,0.104374,-0.112921,-1.99531,-0.822966
2.11,-0.929457,-0.157502,-1.64084,-0.418624
2.12,-0.87495,-1.11443,-1.66864,-0.279856
2.13,-0.551082,-1.18485,-1.51027,0.104076
2.14,-0.309059,0.114046,-1.04715,-0.0600323
2.15,1.24691,0.286479,-0.498958,0.338424
2.16,1.51137,-0.163373,0.632402,0.425298
2.17,0.346065,0.15579,1.81685,-0.408303
2.18,-0.80489,0.221942,1.49901,-1.34884
2.19,-1.24627,-0.160024,0.99743,-3.37114
2.2,-0.719056,0.169951,-0.0395351,-2.53519
2.21,-1.1837,0.911943,-1.24701,-1.02907
2.22,-0.583492,0.631065,-1.92202,1.63546
2.23,-0.964556,0.27647,-2.21629,2.46658
2.24,0.1236,-0.510295,-1.78197,2.20697
2.25,0.113139,-1.29148,-0.193404,2.14366
2.26,-0.222107,-1.23267,2.36617,0.433457
2.27,-0.687121,-0.935451,2.68018,-0.882143
2.28,-0.276642,-0.771829,1.77101,-1.28357
2.29,0.14998,-0.30447,0.17489,-1.10813
2.3,0.266999,1.58895,-1.1026,1.30145
2.31,-0.0965946,-0.164003,-1.78755,2.96977
2.32,0.202505,-0.0553247,-0.526083,1.02997
2.33,0.248691,-1.19546,-1.05309,-0.968204
2.34,0.0719928,-1.04059,0.449851,-1.39479
2.35,0.541233,-0.284697,0.918508,-1.67634
2.36,0.529857,0.236756,-0.00320585,-2.57049
2.37,0.929014,0.600165,-1.25715,-1.215
2.38,0.382127,1.54864,-1.37926,0.374878
2.39,0.0802461,0.894077,-0.301549,0.866143
2.4,-0.36324,-0.160375,-0.209606,0.283809
2.41,-0.163151,-0.925234,-0.381876,-0.711202
2.42,0.0140863,-0.77411,0.166623,-0.230505
2.43,0.549436,-0.203067,-0.0378316,-0.415471
2.44,0.0870214,-0.503271,-0.511024,-1.01697
2.45,0.228621,-0.340954,-0.541736,-0.800453
2.46,-0.366707,-0.233227,-0.122708,-0.206549
2.47,-0.627806,-0.734677,0.159086,-0.16078
2.48,-1.25067,-0.926636,-0.451858,-0.782033
2.49,-0.0727058,-0.583824,-0.751325,-0.0320003
2.5,0.664946,-0.71263,-0.846003,0.913023
2.51,0.386556,-0.613999,-1.38193,0.533194
2.52,-0.0783419,-0.552411,-1.01196,-0.443643
2.53,-0.875674,-0.420212,0.521859,-0.457567
2.54,-0.623048,-0.154338,1.43253,-0.165605
2.55,-0.16308,-0.208886,0.63234,0.974695
2.56,0.229213,-0.548501,-0.419653,1.29453
2.57,0.301807,-0.301328,0.581177,0.892179
2.58,-0.174907,0.113289,1.48496,0.875035
2.59,-1.24859,0.0262541,1.82429,1.02183
2.6,-0.868941,0.792509,1.29107,1.51097
2.61,0.0185072,1.20659,0.635176,0.536438
2.62,0.408063,1.67527,0.516862,-0.518092
2.63,-0.056699,1.20902,0.857097,-0.648515
2.64,0.124619,1.3036,0.574893,-0.538884
2.65,0.112314,1.1174,0.388649,-1.7473
2.66,-0.0869552,0.056545,0.203265,-1.92162
2.67,0.0260508,-0.215584,-0.765618,-0.613724
2.68,0.263661,-0.0943271,-1.81997,0.668768
2.69,1.1135,-0.00304464,-2.10895,1.00721
2.7,0.383778,-0.379402,-2.16365,0.186325
2.71,0.510414,-0.341917,-0.778716,-0.906591
2.72,0.208599,-0.107126,0.37638,-0.475943
2.73,0.396411,0.0618948,0.0340228,0.1262
2.74,-0.0109836,-0.548469,-0.311855,-0.517151
2.75,-0.0738958,-0.648101,0.0524223,-1.20346
2.76,-0.46363,-0.63218,0.334653,-0.879386
2.77,-0.750502,-0.530585,-0.462668,-0.424012
2.78,-0.0650878,-0.163522,-1.5742,0.931057
2.79,0.135247,-1.06359,-1.51746,1.54123
2.8,-0.431022,-1.40013,-0.566735,2.28795
2.81,-0.0423415,-0.574156,1.2604,3.46021
2.82,0.155475,-0.286812,3.82769,2.16492
2.83,-0.0521831,-0.0132327,4.31737,1.63327
2.84,0.336251,-0.493264,3.28805,2.30883
2.85,-0.235465,2.01786,1.98687,3.71383
2.86,0.0349151,3.87094,1.92412,3.25856
2.87,-0.30722,3.44362,2.14694,2.66446
2.88,-0.584934,3.17333,1.7798,3.24131
2.89,-0.452367,2.61388,2.26927,2.88467
2.9,0.297226,2.4299,3.56741,3.53976
2.91,1.3645,2.43074,3.4222,3.64086
2.92,1.59852,1.65733,3.09474,3.3729
2.93,2.93903,2.74362,3.519,3.95282
2.94,2.40256,3.43429,3.55867,4.02268
2.95,2.77609,3.28607,3.57287,2.94685
2.96,1.34295,2.57067,3.7512,2.67371
2.97,1.5024,2.23725,3.37945,2.18747
2.98,1.14273,1.76751,2.88744,2.42643
2.99,1.74841,1.6858,2.74092,2.893
3.0,1.77053,1.72221,2.56359,3.66185
3.01,1.52142,2.0839,2.26301,3.32508
3.02,1.72425,2.34976,2.1698,3.2528
3.03,2.00397,2.26842,2.11614,2.084
3.04,1.58765,1.64056,1.91687,1.73195
3.05,1.13604,1.28066,2.13384,1.05803
3.06,1.11998,1.25835,2.68594,1.92183
3.07,0.87936,0.813023,1.90021,1.07135
3.08,0.87287,0.0014814,1.961,1.31675
3.09,0.573613,-0.847813,3.44485,0.210981
3.1,0.72465,-1.04907,2.87258,2.91543
3.11,0.787458,-0.419177,1.68953,3.45516
3.12,-0.0320266,-0.349795,3.37582,4.13712
3.13,-1.01853,0.0553709,4.53845,4.2881
3.14,-1.0124,0.644938,4.39857,4.19305
3.15,-1.28934,-0.0355449,4.01555,3.00289
3.16,-0.952616,0.285608,4.65848,5.2499
3.17,-0.650529,1.53606,4.52827,3.90509
3.18,-0.147813,1.30782,4.38001,3.0335
3.19,0.371889,1.30896,3.94917,4.4915
3.2,0.95491,2.22609,3.27718,1.91139
3.21,0.205615,2.86792,3.44664,3.13276
3.22,0.25958,2.84447,2.34311,4.18123
3.23,1.29238,2.56923,3.74907,2.04901
3.24,1.28134,2.66928,2.26384,0.732341
3.25,0.433606,2.76197,3.40465,2.39582
3.26,0.827429,4.21199,1.44968,-1.88702
3.27,1.14871,3.24111,3.64391,0.587293
3.28,0.524002,1.8186,3.28535,-1.83574
3.29,0.010124,2.03098,3.09982,-3.36702
3.3,-0.360441,1.61862,2.53678,-0.515985
3.31,-0.119857,2.75665,-0.137459,-5.01758
3.32,-0.0490593,1.35526,1.13435,2.17249
3.33,-0.761278,0.163437,0.162751,-2.98956
3.34,-1.00955,-0.23138,-2.25422,-1.46603
3.35,-0.788578,1.10631,-0.743635,-7.62736
3.36,-1.43034,2.00747,-2.93707,-2.48685
3.37,-2.00511,0.172959,-4.62648,-5.85708
3.38,-2.2851,0.666822,-3.97402,-5.16723
3.39,-1.07135,0.155431,-2.77943,1.74468
3.4,-0.815912,1.68135,-2.70666,-4.82243
3.41,-1.00985,-0.208101,-4.3815,2.91932
3.42,-1.3996,0.801686,-4.88652,-2.48822
3.43,-2.39603,0.0873829,-3.86998,0.330988
3.44,-1.02773,0.175369,0.42998,3.7496
3.45,-0.696117,-0.596587,-1.40375,5.9094
