dts,Node_264,Node_449,Node_909
1.655,0.0129434,0.00443732,-0.0124095
1.67,0.0129888,0.00427314,-0.012587
1.685,0.0131803,0.004067,-0.012788
1.7,0.0135022,0.00388836,-0.0129152
1.715,0.0139377,0.00382522,-0.0129308
1.73,0.0143337,0.00387896,-0.0128851
1.745,0.0144953,0.0039844,-0.0128188
1.76,0.0145141,0.00408921,-0.0127731
1.775,0.0147024,0.00416695,-0.0127431
1.79,0.015056,0.00427322,-0.0126407
1.805,0.0152775,0.00453017,-0.0123828
1.82,0.0152986,0.00502843,-0.0119078
1.835,0.0152061,0.00576874,-0.0112659
1.85,0.0150867,0.0065664,-0.010672
1.865,0.014951,0.00717982,-0.0102893
1.88,0.0147665,0.00756926,-0.0100316
1.895,0.0146471,0.00794728,-0.00970762
1.91,0.0147259,0.00843769,-0.00928496
1.925,0.0149411,0.00894492,-0.00886033
1.94,0.0153029,0.00933096,-0.00858254
1.955,0.0157017,0.00952896,-0.00851654
1.97,0.0159703,0.00951586,-0.00860247
1.985,0.0162849,0.00935637,-0.00878531
2.0,0.0168066,0.00907631,-0.00895943
2.01,0.0172084,0.00886687,-0.00901698
2.02,0.0175807,0.00873048,-0.00900849
2.03,0.0179066,0.00868421,-0.00893179
2.04,0.0182076,0.00873281,-0.00878486
2.05,0.0184826,0.00887296,-0.00858632
2.06,0.018737,0.00908217,-0.00837855
2.07,0.0190015,0.00932995,-0.00819629
2.08,0.0192715,0.00956656,-0.00804215
2.09,0.0194876,0.00978601,-0.00788658
2.1,0.0196042,0.0100271,-0.0076826
2.11,0.019613,0.0103275,-0.00739816
2.12,0.0195553,0.0107115,-0.00705144
2.13,0.0194635,0.0111625,-0.00669377
2.14,0.0193377,0.0116305,-0.00635586
2.15,0.0192044,0.0120765,-0.00604377
2.16,0.0190798,0.0124954,-0.00576371
2.17,0.0189938,0.0128904,-0.00550565
2.18,0.0189862,0.0132699,-0.00522661
2.19,0.0190601,0.0136573,-0.00489446
2.2,0.0192283,0.0140606,-0.00452788
2.21,0.0194881,0.0144385,-0.0041896
2.22,0.0197703,0.0147248,-0.00394846
2.23,0.0199659,0.0148834,-0.00384009
2.24,0.020008,0.0149172,-0.00385365
2.25,0.0199392,0.0148378,-0.00393992
2.26,0.0199297,0.0146574,-0.00406027
2.27,0.0201038,0.0144078,-0.00418902
2.28,0.0204224,0.0141373,-0.00428589
2.29,0.0207385,0.0138837,-0.00433131
2.3,0.0209335,0.0136802,-0.00431607
2.31,0.0209858,0.0135629,-0.00421325
2.32,0.0209406,0.0135419,-0.00400844
2.33,0.0208294,0.0136393,-0.00372957
2.34,0.0206454,0.0138373,-0.00345768
2.35,0.0204226,0.0140275,-0.00326877
2.36,0.0202567,0.0141216,-0.00318131
2.37,0.020181,0.0141455,-0.00315139
2.38,0.0200989,0.0141771,-0.00309373
2.39,0.0199391,0.0142875,-0.00297013
2.4,0.0197018,0.0145008,-0.00280407
2.41,0.0193862,0.0147725,-0.00264194
2.42,0.01901,0.0150124,-0.00254352
2.43,0.0186196,0.0151595,-0.00253605
2.44,0.0181963,0.015208,-0.00262867
2.45,0.0177157,0.0151631,-0.00281858
2.46,0.0172369,0.015046,-0.00303565
2.47,0.0168148,0.0148918,-0.00320136
2.48,0.0164488,0.0147622,-0.0032965
2.49,0.0160667,0.0146797,-0.00335724
2.5,0.0156015,0.0145913,-0.00346389
2.51,0.0150567,0.0144354,-0.00366186
2.52,0.0144693,0.0141869,-0.00395714
2.53,0.0138229,0.0138393,-0.004362
2.54,0.0132126,0.0133892,-0.00487376
2.55,0.0127977,0.012852,-0.00547114
2.56,0.0125655,0.0122486,-0.00608707
2.57,0.0123914,0.0115807,-0.006659
2.58,0.0121476,0.0108729,-0.00716892
2.59,0.011741,0.0102176,-0.00761135
2.6,0.0111673,0.00963068,-0.00802679
2.61,0.010517,0.00904853,-0.00849514
2.62,0.00991889,0.00840981,-0.00908011
2.63,0.00944895,0.00766621,-0.00982656
2.64,0.00905385,0.00681273,-0.0107243
2.65,0.00861273,0.00582763,-0.0116791
2.66,0.00804807,0.00476646,-0.0125867
2.67,0.00736732,0.00379259,-0.0133884
2.68,0.00661315,0.00296145,-0.0140561
2.69,0.00580444,0.0022586,-0.0146283
2.7,0.00496587,0.0016147,-0.0152165
2.71,0.00414505,0.000910946,-0.0158931
2.72,0.00334505,9.72434e-05,-0.0166626
2.73,0.00253519,-0.000782303,-0.0174985
2.74,0.00170166,-0.00165895,-0.0183585
2.75,0.000857797,-0.00249333,-0.0192259
2.76,2.55394e-05,-0.00330803,-0.020106
2.77,-0.000784275,-0.00415505,-0.0210144
2.78,-0.00157983,-0.00507672,-0.0219803
2.79,-0.00238114,-0.00607951,-0.0230129
2.8,-0.00318332,-0.00716489,-0.0240966
2.81,-0.00394162,-0.00830579,-0.0252025
2.82,-0.00461066,-0.00945776,-0.0263071
2.83,-0.00517792,-0.0105875,-0.0274129
2.84,-0.0056793,-0.0116953,-0.028516
2.85,-0.00616187,-0.0127987,-0.0295955
2.86,-0.00663906,-0.0138976,-0.0306335
2.87,-0.00708271,-0.0149758,-0.031609
2.88,-0.007464,-0.0160126,-0.032501
2.89,-0.0077958,-0.01699,-0.0333113
2.9,-0.00811431,-0.0179077,-0.0340856
2.91,-0.00842161,-0.0187894,-0.0348755
2.92,-0.0086863,-0.0196586,-0.0356809
2.93,-0.00892185,-0.0205101,-0.0364742
2.94,-0.00917918,-0.0213212,-0.0372311
2.95,-0.0094821,-0.0220661,-0.037936
2.96,-0.00986052,-0.0227371,-0.0385942
2.97,-0.0103617,-0.0233536,-0.0392068
2.98,-0.0109933,-0.0239303,-0.0397601
2.99,-0.0116874,-0.02445,-0.04026
3.0,-0.0123528,-0.0248888,-0.040729
3.01,-0.012951,-0.0252371,-0.0411755
3.02,-0.0135242,-0.025511,-0.0415815
3.03,-0.0140846,-0.0257351,-0.0419379
3.04,-0.0146027,-0.0259018,-0.042258
3.05,-0.0151149,-0.0260063,-0.0425574
3.06,-0.0157224,-0.0260977,-0.0428651
3.07,-0.0164512,-0.0262294,-0.0432137
3.08,-0.017201,-0.0264353,-0.0436347
3.09,-0.0178367,-0.0267531,-0.0441626
3.1,-0.0182668,-0.0271988,-0.044789
3.11,-0.0184986,-0.0277387,-0.0454709
3.12,-0.0185566,-0.0283188,-0.0461786
3.13,-0.0184552,-0.0289063,-0.0469026
3.14,-0.0182014,-0.0295026,-0.0476274
3.15,-0.0177841,-0.0301111,-0.0483277
3.16,-0.0171787,-0.0307223,-0.0489969
3.17,-0.0163659,-0.0313409,-0.0496703
3.18,-0.0153506,-0.0320038,-0.0504154
3.19,-0.0141383,-0.0327647,-0.051235
3.2,-0.0127383,-0.033631,-0.0520441
3.21,-0.0111601,-0.0345019,-0.0527814
3.22,-0.00938481,-0.0352762,-0.0534206
3.23,-0.00739232,-0.0359082,-0.0539131
3.24,-0.0051715,-0.0363435,-0.0542242
3.25,-0.00271329,-0.0365402,-0.0543373
3.26,-5.85555e-06,-0.0364737,-0.0542445
3.27,0.00295741,-0.0361348,-0.053958
3.28,0.00615092,-0.0355401,-0.0534912
3.29,0.00953907,-0.0347219,-0.0528642
3.3,0.0130992,-0.0337063,-0.052095
3.31,0.0168295,-0.032509,-0.0511707
3.32,0.0207375,-0.0311232,-0.0500759
