dts,Node_5,Node_80,Node_6,Node_108
2.28,-0.0159011,-0.0203378,-0.0212845,-0.013126
2.29,-0.0163337,-0.0211452,-0.0219552,-0.0137344
2.3,-0.0166897,-0.0218021,-0.0226811,-0.0143953
2.31,-0.0170181,-0.022263,-0.0233976,-0.0149999
2.32,-0.0173697,-0.0225334,-0.0240133,-0.0154893
2.33,-0.0177526,-0.0227064,-0.0244741,-0.0158498
2.34,-0.018102,-0.0228878,-0.0247787,-0.0160941
2.35,-0.0183305,-0.0231268,-0.0249636,-0.0162804
2.36,-0.018415,-0.0234023,-0.0251002,-0.016499
2.37,-0.0184263,-0.0236254,-0.0252644,-0.0168072
2.38,-0.0184626,-0.0237468,-0.0254594,-0.0172018
2.39,-0.0185763,-0.0238165,-0.0256442,-0.0176281
2.4,-0.018767,-0.0238925,-0.0257943,-0.0180328
2.41,-0.0190031,-0.0240163,-0.0259348,-0.0184206
2.42,-0.019242,-0.0242152,-0.0260973,-0.0188176
2.43,-0.0194681,-0.0244656,-0.0262918,-0.0192307
2.44,-0.0196869,-0.0247224,-0.0265367,-0.0196665
2.45,-0.0199334,-0.0249658,-0.0268335,-0.0201126
2.46,-0.0202476,-0.0252179,-0.0271719,-0.0205371
2.47,-0.0206408,-0.0255222,-0.0275308,-0.0209368
2.48,-0.0210975,-0.0259123,-0.0278898,-0.0213356
2.49,-0.021611,-0.0263824,-0.0282671,-0.0217632
2.5,-0.0221792,-0.0269022,-0.0287184,-0.0222409
2.51,-0.0227868,-0.0274699,-0.0292717,-0.0227467
2.52,-0.0234344,-0.0280938,-0.0299031,-0.0232199
2.53,-0.0241316,-0.028755,-0.0305781,-0.0236257
2.54,-0.0248376,-0.0294491,-0.031262,-0.0239643
2.55,-0.0254942,-0.0301924,-0.0319125,-0.0242565
2.56,-0.0261009,-0.0309599,-0.0325076,-0.0245635
2.57,-0.0267002,-0.0316913,-0.0330757,-0.0249614
2.58,-0.0272961,-0.0323439,-0.0336397,-0.0254437
2.59,-0.0278519,-0.0329086,-0.0341891,-0.0259391
2.6,-0.0283334,-0.0333796,-0.0347176,-0.026401
2.61,-0.0287097,-0.0337416,-0.035238,-0.0268129
2.62,-0.0289618,-0.0340104,-0.0357227,-0.027152
2.63,-0.0290792,-0.0342175,-0.0361076,-0.027405
2.64,-0.0290663,-0.0343766,-0.0363528,-0.0275942
2.65,-0.028958,-0.0344792,-0.0364697,-0.0277587
2.66,-0.0288311,-0.0344932,-0.0364975,-0.0279253
2.67,-0.0287432,-0.0344017,-0.0364653,-0.0280881
2.68,-0.0286906,-0.0342474,-0.0363594,-0.0282034
2.69,-0.0286948,-0.0340875,-0.0361614,-0.0282479
2.7,-0.0287892,-0.0339426,-0.0359049,-0.0282592
2.71,-0.0289369,-0.033842,-0.0356625,-0.0282849
2.72,-0.0290809,-0.0338183,-0.0354921,-0.02835
2.73,-0.0292117,-0.0338458,-0.035439,-0.0284872
2.74,-0.0293628,-0.0338845,-0.0355299,-0.0287311
2.75,-0.0295743,-0.0339483,-0.0357368,-0.0290648
2.76,-0.0298632,-0.0341004,-0.0359934,-0.0294273
2.77,-0.030218,-0.0343952,-0.0362546,-0.029794
2.78,-0.0306269,-0.0348216,-0.0365506,-0.0301967
2.79,-0.0311126,-0.0353339,-0.0369373,-0.0306671
2.8,-0.0317176,-0.0359128,-0.0374402,-0.0311799
2.81,-0.0324338,-0.0365759,-0.038048,-0.0316601
2.82,-0.0331828,-0.037349,-0.0387385,-0.0320842
2.83,-0.0338685,-0.0382224,-0.0395089,-0.0325224
2.84,-0.0344413,-0.0391236,-0.0403624,-0.0330342
2.85,-0.034872,-0.0399342,-0.0412713,-0.0335957
2.86,-0.0351484,-0.0405814,-0.0421546,-0.0341352
2.87,-0.0352874,-0.0410338,-0.0428938,-0.0345954
2.88,-0.0353052,-0.0412785,-0.0434357,-0.0349348
2.89,-0.0351874,-0.0413479,-0.0437824,-0.0351307
2.9,-0.0349167,-0.0412592,-0.0439313,-0.0351715
2.91,-0.0344732,-0.0410112,-0.0438834,-0.0350516
2.92,-0.0338293,-0.0406014,-0.043625,-0.0347821
