       1     350.000      4.000
       2     350.000      3.444
       3     350.000      2.889
       4     350.000      2.333
       5     350.000      1.778
       6     350.000      1.222
       7     350.000      0.667
       8     350.000      0.111
       9     350.000     -0.444
      10     350.000     -1.000
      11     350.000     -1.556
      12     350.000     -2.111
      13     350.000     -2.667
      14     350.000     -3.222
      15     350.000     -3.778
      16     350.000     -4.333
      17     350.000     -4.889
      18     350.000     -5.444
      19     350.000     -6.000
      20     350.000     -6.556
      21     350.000     -7.111
      22     350.000     -7.667
      23     350.000     -8.222
      24     350.000     -8.778
      25     350.000     -9.333
      26     350.000     -9.889
      27     350.000    -10.444
      28     350.000    -11.000
      29     350.000    -11.556
      30     350.000    -12.111
      31     350.000    -12.667
      32     350.000    -13.222
      33     350.000    -13.778
      34     350.000    -14.333
      35     350.000    -14.889
      36     350.000    -15.444
      37     350.000    -16.000
      38     350.000    -16.500
      39     350.000    -17.000
      40     350.000    -17.500
      41     350.000    -18.000
      42     350.000    -18.500
      43     350.000    -19.000
      44     350.000    -19.500
      45     350.000    -20.000
      46     350.000    -20.500
      47     350.000    -21.000
      48     350.000    -21.500
      49     350.000    -22.000
      50     350.000    -22.500
      51     350.000    -23.000
      52     350.000    -23.500
      53     350.000    -24.000
      54     300.000      4.000
      55     300.000      3.444
      56     300.000      2.889
      57     300.000      2.333
      58     300.000      1.778
      59     300.000      1.222
      60     300.000      0.667
      61     300.000      0.111
      62     300.000     -0.444
      63     300.000     -1.000
      64     300.000     -1.556
      65     300.000     -2.111
      66     300.000     -2.667
      67     300.000     -3.222
      68     300.000     -3.778
      69     300.000     -4.333
      70     300.000     -4.889
      71     300.000     -5.444
      72     300.000     -6.000
      73     300.000     -6.556
      74     300.000     -7.111
      75     300.000     -7.667
      76     300.000     -8.222
      77     300.000     -8.778
      78     300.000     -9.333
      79     300.000     -9.889
      80     300.000    -10.444
      81     300.000    -11.000
      82     300.000    -11.556
      83     300.000    -12.111
      84     300.000    -12.667
      85     300.000    -13.222
      86     300.000    -13.778
      87     300.000    -14.333
      88     300.000    -14.889
      89     300.000    -15.444
      90     300.000    -16.000
      91     300.000    -16.500
      92     300.000    -17.000
      93     300.000    -17.500
      94     300.000    -18.000
      95     300.000    -18.500
      96     300.000    -19.000
      97     300.000    -19.500
      98     300.000    -20.000
      99     300.000    -20.500
     100     300.000    -21.000
     101     300.000    -21.500
     102     300.000    -22.000
     103     300.000    -22.500
     104     300.000    -23.000
     105     292.981      4.000
     106     292.981      3.444
     107     292.981      2.889
     108     292.981      2.333
     109     292.981      1.778
     110     300.000    -23.500
     111     292.981      1.222
     112     292.981      0.667
     113     292.981      0.111
     114     292.981     -0.444
     115     292.981     -1.000
     116     292.981     -1.556
     117     300.000    -24.000
     118     292.981     -2.111
     119     292.981     -2.667
     120     292.981     -3.222
     121     292.981     -3.778
     122     292.981     -4.333
     123     292.981     -4.889
     124     292.981     -5.444
     125     292.981     -6.000
     126     292.981     -6.556
     127     292.981     -7.111
     128     292.981     -7.667
     129     292.981     -8.222
     130     292.981     -8.778
     131     292.981     -9.333
     132     292.981     -9.889
     133     292.981    -10.444
     134     292.981    -11.000
     135     292.981    -11.556
     136     292.981    -12.111
     137     292.981    -12.667
     138     292.981    -13.222
     139     292.981    -13.778
     140     292.981    -14.333
     141     292.981    -14.889
     142     292.981    -15.444
     143     292.981    -16.000
     144     292.981    -16.500
     145     292.981    -17.000
     146     292.981    -17.500
     147     292.981    -18.000
     148     292.981    -18.500
     149     292.981    -19.000
     150     292.981    -19.500
     151     292.981    -20.000
     152     292.981    -20.500
     153     292.981    -21.000
     154     292.981    -21.500
     155     292.981    -22.000
     156     292.981    -22.500
     157     292.981    -23.000
     158     292.981    -23.500
     159     292.981    -24.000
     160     286.185      4.000
     161     286.185      3.444
     162     286.185      2.889
     163     286.185      2.333
     164     286.185      1.778
     165     286.185      1.222
     166     286.185      0.667
     167     286.185      0.111
     168     286.185     -0.444
     169     286.185     -1.000
     170     286.185     -1.556
     171     286.185     -2.111
     172     286.185     -2.667
     173     286.185     -3.222
     174     286.185     -3.778
     175     286.185     -4.333
     176     286.185     -4.889
     177     286.185     -5.444
     178     286.185     -6.000
     179     286.185     -6.556
     180     286.185     -7.111
     181     286.185     -7.667
     182     286.185     -8.222
     183     286.185     -8.778
     184     286.185     -9.333
     185     286.185     -9.889
     186     286.185    -10.444
     187     286.185    -11.000
     188     286.185    -11.556
     189     286.185    -12.111
     190     286.185    -12.667
     191     286.185    -13.222
     192     286.185    -13.778
     193     286.185    -14.333
     194     286.185    -14.889
     195     286.185    -15.444
     196     286.185    -16.000
     197     286.185    -16.500
     198     286.185    -17.000
     199     286.185    -17.500
     200     286.185    -18.000
     201     286.185    -18.500
     202     286.185    -19.000
     203     286.185    -19.500
     204     286.185    -20.000
     205     286.185    -20.500
     206     286.185    -21.000
     207     286.185    -21.500
     208     286.185    -22.000
     209     286.185    -22.500
     210     286.185    -23.000
     211     286.185    -23.500
     212     286.185    -24.000
     213     279.603      4.000
     214     279.603      3.444
     215     279.603      2.889
     216     279.603      2.333
     217     279.603      1.778
     218     279.603      1.222
     219     279.603      0.667
     220     279.603      0.111
     221     279.603     -0.444
     222     279.603     -1.000
     223     279.603     -1.556
     224     279.603     -2.111
     225     279.603     -2.667
     226     279.603     -3.222
     227     279.603     -3.778
     228     279.603     -4.333
     229     279.603     -4.889
     230     279.603     -5.444
     231     279.603     -6.000
     232     279.603     -6.556
     233     279.603     -7.111
     234     279.603     -7.667
     235     279.603     -8.222
     236     279.603     -8.778
     237     279.603     -9.333
     238     279.603     -9.889
     239     279.603    -10.444
     240     279.603    -11.000
     241     279.603    -11.556
     242     279.603    -12.111
     243     279.603    -12.667
     244     279.603    -13.222
     245     279.603    -13.778
     246     279.603    -14.333
     247     279.603    -14.889
     248     279.603    -15.444
     249     279.603    -16.000
     250     279.603    -16.500
     251     279.603    -17.000
     252     279.603    -17.500
     253     279.603    -18.000
     254     279.603    -18.500
     255     279.603    -19.000
     256     279.603    -19.500
     257     279.603    -20.000
     258     279.603    -20.500
     259     279.603    -21.000
     260     279.603    -21.500
     261     279.603    -22.000
     262     279.603    -22.500
     263     279.603    -23.000
     264     279.603    -23.500
     265     279.603    -24.000
     266     273.228      4.000
     267     273.228      3.444
     268     273.228      2.889
     269     273.228      2.333
     270     273.228      1.778
     271     273.228      1.222
     272     273.228      0.667
     273     273.228      0.111
     274     273.228     -0.444
     275     273.228     -1.000
     276     273.228     -1.556
     277     273.228     -2.111
     278     273.228     -2.667
     279     273.228     -3.222
     280     273.228     -3.778
     281     273.228     -4.333
     282     273.228     -4.889
     283     273.228     -5.444
     284     273.228     -6.000
     285     273.228     -6.556
     286     273.228     -7.111
     287     273.228     -7.667
     288     273.228     -8.222
     289     273.228     -8.778
     290     273.228     -9.333
     291     273.228     -9.889
     292     273.228    -10.444
     293     273.228    -11.000
     294     273.228    -11.556
     295     273.228    -12.111
     296     273.228    -12.667
     297     273.228    -13.222
     298     273.228    -13.778
     299     273.228    -14.333
     300     273.228    -14.889
     301     273.228    -15.444
     302     273.228    -16.000
     303     273.228    -16.500
     304     273.228    -17.000
     305     273.228    -17.500
     306     273.228    -18.000
     307     273.228    -18.500
     308     273.228    -19.000
     309     273.228    -19.500
     310     273.228    -20.000
     311     273.228    -20.500
     312     273.228    -21.000
     313     273.228    -21.500
     314     273.228    -22.000
     315     273.228    -22.500
     316     273.228    -23.000
     317     273.228    -23.500
     318     273.228    -24.000
     319     267.052      4.000
     320     267.052      3.444
     321     267.052      2.889
     322     267.052      2.333
     323     267.052      1.778
     324     267.052      1.222
     325     267.052      0.667
     326     267.052      0.111
     327     267.052     -0.444
     328     267.052     -1.000
     329     267.052     -1.556
     330     267.052     -2.111
     331     267.052     -2.667
     332     267.052     -3.222
     333     267.052     -3.778
     334     267.052     -4.333
     335     267.052     -4.889
     336     267.052     -5.444
     337     267.052     -6.000
     338     267.052     -6.556
     339     267.052     -7.111
     340     267.052     -7.667
     341     267.052     -8.222
     342     267.052     -8.778
     343     267.052     -9.333
     344     267.052     -9.889
     345     267.052    -10.444
     346     267.052    -11.000
     347     267.052    -11.556
     348     267.052    -12.111
     349     267.052    -12.667
     350     267.052    -13.222
     351     267.052    -13.778
     352     267.052    -14.333
     353     267.052    -14.889
     354     267.052    -15.444
     355     267.052    -16.000
     356     267.052    -16.500
     357     267.052    -17.000
     358     267.052    -17.500
     359     267.052    -18.000
     360     267.052    -18.500
     361     267.052    -19.000
     362     267.052    -19.500
     363     267.052    -20.000
     364     267.052    -20.500
     365     267.052    -21.000
     366     267.052    -21.500
     367     267.052    -22.000
     368     267.052    -22.500
     369     267.052    -23.000
     370     267.052    -23.500
     371     267.052    -24.000
     372     261.066      4.000
     373     261.066      3.444
     374     261.066      2.889
     375     261.066      2.333
     376     261.066      1.778
     377     261.066      1.222
     378     261.066      0.667
     379     261.066      0.111
     380     261.066     -0.444
     381     261.066     -1.000
     382     261.066     -1.556
     383     261.066     -2.111
     384     261.066     -2.667
     385     261.066     -3.222
     386     261.066     -3.778
     387     261.066     -4.333
     388     261.066     -4.889
     389     261.066     -5.444
     390     261.066     -6.000
     391     261.066     -6.556
     392     261.066     -7.111
     393     261.066     -7.667
     394     261.066     -8.222
     395     261.066     -8.778
     396     261.066     -9.333
     397     261.066     -9.889
     398     261.066    -10.444
     399     261.066    -11.000
     400     261.066    -11.556
     401     261.066    -12.111
     402     261.066    -12.667
     403     261.066    -13.222
     404     261.066    -13.778
     405     261.066    -14.333
     406     261.066    -14.889
     407     261.066    -15.444
     408     261.066    -16.000
     409     261.066    -16.500
     410     261.066    -17.000
     411     261.066    -17.500
     412     261.066    -18.000
     413     261.066    -18.500
     414     261.066    -19.000
     415     261.066    -19.500
     416     261.066    -20.000
     417     261.066    -20.500
     418     261.066    -21.000
     419     261.066    -21.500
     420     261.066    -22.000
     421     261.066    -22.500
     422     261.066    -23.000
     423     261.066    -23.500
     424     261.066    -24.000
     425     255.266      4.000
     426     255.266      3.444
     427     255.266      2.889
     428     255.266      2.333
     429     255.266      1.778
     430     255.266      1.222
     431     255.266      0.667
     432     255.266      0.111
     433     255.266     -0.444
     434     255.266     -1.000
     435     255.266     -1.556
     436     255.266     -2.111
     437     255.266     -2.667
     438     255.266     -3.222
     439     255.266     -3.778
     440     255.266     -4.333
     441     255.266     -4.889
     442     255.266     -5.444
     443     255.266     -6.000
     444     255.266     -6.556
     445     255.266     -7.111
     446     255.266     -7.667
     447     255.266     -8.222
     448     255.266     -8.778
     449     255.266     -9.333
     450     255.266     -9.889
     451     255.266    -10.444
     452     255.266    -11.000
     453     255.266    -11.556
     454     255.266    -12.111
     455     255.266    -12.667
     456     255.266    -13.222
     457     255.266    -13.778
     458     255.266    -14.333
     459     255.266    -14.889
     460     255.266    -15.444
     461     255.266    -16.000
     462     255.266    -16.500
     463     255.266    -17.000
     464     255.266    -17.500
     465     255.266    -18.000
     466     255.266    -18.500
     467     255.266    -19.000
     468     255.266    -19.500
     469     255.266    -20.000
     470     255.266    -20.500
     471     255.266    -21.000
     472     255.266    -21.500
     473     255.266    -22.000
     474     255.266    -22.500
     475     255.266    -23.000
     476     255.266    -23.500
     477     255.266    -24.000
     478     249.642      4.000
     479     249.642      3.444
     480     249.642      2.889
     481     249.642      2.333
     482     249.642      1.778
     483     249.642      1.222
     484     249.642      0.667
     485     249.642      0.111
     486     249.642     -0.444
     487     249.642     -1.000
     488     249.642     -1.556
     489     249.642     -2.111
     490     249.642     -2.667
     491     249.642     -3.222
     492     249.642     -3.778
     493     249.642     -4.333
     494     249.642     -4.889
     495     249.642     -5.444
     496     249.642     -6.000
     497     249.642     -6.556
     498     249.642     -7.111
     499     249.642     -7.667
     500     249.642     -8.222
     501     249.642     -8.778
     502     249.642     -9.333
     503     249.642     -9.889
     504     249.642    -10.444
     505     249.642    -11.000
     506     249.642    -11.556
     507     249.642    -12.111
     508     249.642    -12.667
     509     249.642    -13.222
     510     249.642    -13.778
     511     249.642    -14.333
     512     249.642    -14.889
     513     249.642    -15.444
     514     249.642    -16.000
     515     249.642    -16.500
     516     249.642    -17.000
     517     249.642    -17.500
     518     249.642    -18.000
     519     249.642    -18.500
     520     249.642    -19.000
     521     249.642    -19.500
     522     249.642    -20.000
     523     249.642    -20.500
     524     249.642    -21.000
     525     249.642    -21.500
     526     249.642    -22.000
     527     249.642    -22.500
     528     249.642    -23.000
     529     249.642    -23.500
     530     249.642    -24.000
     531     244.190      4.000
     532     244.190      3.444
     533     244.190      2.889
     534     244.190      2.333
     535     244.190      1.778
     536     244.190      1.222
     537     244.190      0.667
     538     244.190      0.111
     539     244.190     -0.444
     540     244.190     -1.000
     541     244.190     -1.556
     542     244.190     -2.111
     543     244.190     -2.667
     544     244.190     -3.222
     545     244.190     -3.778
     546     244.190     -4.333
     547     244.190     -4.889
     548     244.190     -5.444
     549     244.190     -6.000
     550     244.190     -6.556
     551     244.190     -7.111
     552     244.190     -7.667
     553     244.190     -8.222
     554     244.190     -8.778
     555     244.190     -9.333
     556     244.190     -9.889
     557     244.190    -10.444
     558     244.190    -11.000
