member,joint_A,joint_B,AFX_N,AFY_N,AFZ_N,AMX_Nmm,AMY_Nmm,AMZ_Nmm,BFX_N,BFY_N,BFZ_N,BMX_Nmm,BMY_Nmm,BMZ_Nmm
1,1,2,25.612817,86.244861,-2.521244,-0.0,0.0,-0.0,-25.612817,198.90557,2.521244,-2216.173864,0.0,-22513.668094
2,2,3,-21.690255,-65.209723,-261.952076,-116392.136067,1215.742433,8200.658014,21.690255,350.360154,261.952076,-113863.751729,-1215.742433,10865.075123
3,6,5,11.209642,770.549754,-12.065069,-0.0,0.0,-0.0,-11.209642,-485.399273,12.065069,-10605.195515,0.0,-9853.275569
4,5,4,62.740225,776.601055,-268.047472,-118367.004908,978.550773,-6964.062658,-62.740225,-491.450607,268.047472,-117246.720573,-978.550773,-48184.597558
5,3,4,-28.802967,-107.63475,2.758879,-257.821163,-1069.279307,-10714.489269,28.802967,284.836363,-2.758879,257.821163,-310.160107,-87403.283845
6,2,5,52.853714,147.480315,1.727771,-958.817131,-75.252415,15739.404979,-52.853714,14.721298,-1.727771,958.817131,-788.633272,17450.351876
7,7,4,-25.126179,346.315823,-1.332327,-0.0,-0.0,-0.0,25.126175,470.390828,1.332327,-2342.230222,-1998.489821,137228.083212
11,11,12,36.720878,3269.872999,12.794152,-0.0,0.0,0.0,-36.720878,-2984.722518,-12.794152,11246.060658,0.0,-32277.653663
12,12,13,-11.460092,1358.833209,-181.113078,-86189.283312,761.711426,5498.415768,11.460092,-1073.682795,181.113078,-73009.113053,-761.711426,4575.005064
13,16,15,25.997563,3840.149038,3.826104,-0.0,0.0,0.0,-25.997563,-3554.998557,-3.826104,3363.145235,0.0,-22851.858911
14,15,14,67.283552,2104.027074,-187.629276,-87945.519188,1364.777475,-10377.067018,-67.283552,-1818.876593,187.629276,-76980.623116,-1364.777475,-48765.178692
15,13,14,2.198405,-90.195774,2.601787,-26.570578,-459.164687,-8786.97014,-2.198405,252.397384,-2.601787,26.570578,-841.72897,-76861.322855
16,12,15,28.710555,188.082127,3.829624,-1129.401584,-2638.059008,27851.031456,-28.710555,-25.880501,-3.829624,1129.401584,723.246994,25639.62451
17,17,14,-74.414751,404.837374,-0.701641,-0.0,-0.0,-0.0,74.414768,411.869243,0.701641,-1233.484158,-1052.460828,136095.030415
21,3,13,7.112714,-242.725437,-264.710951,114121.572287,2285.02174,-150.585933,-7.112714,595.807712,264.710951,179365.043117,2693.877884,150.585933
22,4,14,8.811099,-263.776616,-266.620915,119331.131499,3287.200753,-1640.205387,-8.811099,595.858883,266.620915,181541.311541,2880.568651,1640.205387
23,13,23,-6.545783,568.070848,-448.425845,-106329.349307,-1473.001719,4061.379223,6.545783,286.291256,448.425845,14750.999118,-2781.757022,-4061.379223
24,14,24,3.878312,558.751099,-452.350037,-103353.772503,378.398649,-12108.747513,-3.878312,295.611005,452.350037,17833.257563,2142.504143,12108.747513
25,23,24,7.373992,288.611715,-0.645141,-65.84268,-1644.791948,13798.6746,-7.373992,293.589949,0.645141,65.84268,1967.362277,-15043.234249
26,2,12,-5.550638,-281.176178,257.70306,119567.132534,-1140.490123,-1426.394057,5.550638,508.258455,-257.70306,156734.99245,-2744.956781,1426.394057
27,5,15,1.323127,-305.923053,257.710169,128013.388974,-189.917527,-633.012808,-1.323127,533.005329,-257.710169,165611.53796,1116.106259,633.012808
28,23,12,-13.919775,-574.902904,-447.780707,-14685.156688,4426.549812,-9737.294535,13.919775,929.548695,447.78074,-80662.364529,4621.304205,-2498.187828
29,24,15,11.252305,-589.200888,-452.995209,-17899.101676,-4109.86663,2934.485895,-11.252305,943.846678,452.995243,-82158.564223,-3204.131044,6956.289032
