joint,FX_N,FY_N,FZ_N,MX_Nmm,MY_Nmm,MZ_Nmm,line
1,25.612817,86.244861,-2.521244,0.0,0.0,0.0,A
6,11.209642,770.549754,-12.065069,0.0,0.0,0.0,A
7,-25.126175,346.31579,-1.332327,0.0,0.0,0.0,A
11,36.720878,3269.872999,12.794152,0.0,0.0,0.0,B
16,25.997563,3840.149038,3.826104,0.0,0.0,0.0,B
17,-74.414759,404.837374,-0.701641,0.0,0.0,0.0,B
LINE_A_SUM,,,,,,,1203.110404
LINE_B_SUM,,,,,,,7514.859412
TOTAL,,,,,,,8717.969816
