Nodes:
ID, X, Y, Z
1499, 22.312, 3.250, 0.000
1500, 21.875, 3.500, 0.000
1501, 21.437, 3.750, 0.000
1502, 21.000, 4.000, 0.000
1503, 20.563, 4.250, 0.000
1504, 20.125, 4.500, 0.000
1505, 19.688, 4.750, 0.000
1506, 19.250, 5.000, 0.000
1507, 18.813, 5.250, 0.000
1508, 18.375, 5.500, 0.000
1509, 17.938, 5.750, 0.000
1510, 17.500, 6.000, 0.000
1511, 17.063, 6.250, 0.000
1512, 16.625, 6.500, 0.000
1513, 16.188, 6.750, 0.000
1514, 15.750, 7.000, 0.000
1515, 15.313, 7.250, 0.000
1516, 14.875, 7.500, 0.000
1517, 14.438, 7.750, 0.000
1518, 14.000, 8.000, 0.000
1519, 13.563, 8.250, 0.000
1520, 13.125, 8.500, 0.000
1521, 12.688, 8.750, 0.000
1522, 12.250, 9.000, 0.000
1523, 11.813, 9.250, 0.000
1524, 11.375, 9.500, 0.000
1525, 10.938, 9.750, 0.000
1526, 28.350, 0.250, 0.000
1527, 27.900, 0.500, 0.000
1528, 27.450, 0.750, 0.000
1529, 27.000, 1.000, 0.000
1530, 26.550, 1.250, 0.000
1531, 26.100, 1.500, 0.000
1532, 25.650, 1.750, 0.000
1533, 25.200, 2.000, 0.000
1534, 24.750, 2.250, 0.000
1535, 24.300, 2.500, 0.000
1536, 23.850, 2.750, 0.000
1537, 23.400, 3.000, 0.000
1538, 22.950, 3.250, 0.000
1539, 22.500, 3.500, 0.000
1540, 22.050, 3.750, 0.000
1541, 21.600, 4.000, 0.000
1542, 21.150, 4.250, 0.000
1543, 20.700, 4.500, 0.000
1544, 20.250, 4.750, 0.000
1545, 19.800, 5.000, 0.000
1546, 19.350, 5.250, 0.000
1547, 18.900, 5.500, 0.000
1548, 18.450, 5.750, 0.000
1549, 18.000, 6.000, 0.000
1550, 17.550, 6.250, 0.000
1551, 17.100, 6.500, 0.000
1552, 16.650, 6.750, 0.000
1553, 16.200, 7.000, 0.000
1554, 15.750, 7.250, 0.000
1555, 15.300, 7.500, 0.000
1556, 14.850, 7.750, 0.000
1557, 14.400, 8.000, 0.000
1558, 13.950, 8.250, 0.000
1559, 13.500, 8.500, 0.000
1560, 13.050, 8.750, 0.000
1561, 12.600, 9.000, 0.000
1562, 12.150, 9.250, 0.000
1563, 11.700, 9.500, 0.000
1564, 11.250, 9.750, 0.000
1565, 29.137, 0.250, 0.000
1566, 28.675, 0.500, 0.000
1567, 28.212, 0.750, 0.000
1568, 27.750, 1.000, 0.000
1569, 27.287, 1.250, 0.000
1570, 26.825, 1.500, 0.000
1571, 26.362, 1.750, 0.000
1572, 25.900, 2.000, 0.000
1573, 25.437, 2.250, 0.000
1574, 24.975, 2.500, 0.000
1575, 24.512, 2.750, 0.000
1576, 24.050, 3.000, 0.000
1577, 23.588, 3.250, 0.000
1578, 23.125, 3.500, 0.000
1579, 22.663, 3.750, 0.000
1580, 22.200, 4.000, 0.000
1581, 21.738, 4.250, 0.000
1582, 21.275, 4.500, 0.000
1583, 20.813, 4.750, 0.000
1584, 20.350, 5.000, 0.000
1585, 19.888, 5.250, 0.000
1586, 19.425, 5.500, 0.000
1587, 18.963, 5.750, 0.000
1588, 18.500, 6.000, 0.000
1589, 18.038, 6.250, 0.000
1590, 17.575, 6.500, 0.000
1591, 17.113, 6.750, 0.000
1592, 16.650, 7.000, 0.000
1593, 16.188, 7.250, 0.000
1594, 15.725, 7.500, 0.000
1595, 15.263, 7.750, 0.000
1596, 14.800, 8.000, 0.000
1597, 14.338, 8.250, 0.000
1598, 13.875, 8.500, 0.000
1599, 13.413, 8.750, 0.000
1600, 12.950, 9.000, 0.000
1601, 12.488, 9.250, 0.000
1602, 12.025, 9.500, 0.000
1603, 11.563, 9.750, 0.000
1604, 29.925, 0.250, 0.000
1605, 29.450, 0.500, 0.000
1606, 28.975, 0.750, 0.000
1607, 28.500, 1.000, 0.000
1608, 28.025, 1.250, 0.000
1609, 27.550, 1.500, 0.000
1610, 27.075, 1.750, 0.000
1611, 26.600, 2.000, 0.000
1612, 26.125, 2.250, 0.000
1613, 25.650, 2.500, 0.000
1614, 25.175, 2.750, 0.000
1615, 24.700, 3.000, 0.000
1616, 24.225, 3.250, 0.000
1617, 23.750, 3.500, 0.000
1618, 23.275, 3.750, 0.000
1619, 22.800, 4.000, 0.000
1620, 22.325, 4.250, 0.000
1621, 21.850, 4.500, 0.000
1622, 21.375, 4.750, 0.000
1623, 20.900, 5.000, 0.000
